"Codeall","longtermall","lockoutall","meanRLall","meanD1all","meanE1all","positionall","recognitionall"
1001,"explicit","no",2.4,12.362979,5.45,4.9,7.6
1002,"explicit","no",1.1,17.71755,7.85,4.85,7.25
1003,"explicit","no",1.6,13.4976645,7.45,5.85,7.6
1004,"explicit","no",1.55,18.7207105,6.9,7,7.85
1005,"explicit","no",1.15,27.90688,7.7,5.8,7.1
1006,"explicit","no",1.1,13.532075,7.65,7.2,8
1007,"explicit","no",3.15,5.2478585,3.2,2.15,6.15
1008,"explicit","no",1.75,11.540499,5.9,6.7,7.85
1009,"explicit","no",1,23.76027,8,7.6,7.85
1010,"explicit","no",3.2,8.7329225,3.95,4.5,7.75
1011,"explicit","no",2,6.356302,4.1,2.15,6.95
1012,"explicit","no",2.1,6.8281035,4.1,1.1,5.4
1013,"explicit","no",1,34.061575,8,7.9,8
1014,"explicit","no",2.2,16.2015975,5.5,5.3,7.5
1015,"explicit","no",1,20.351235,8,7.9,8
1016,"explicit","no",1.05,30.14973,7.9,5.1,7.05
1017,"explicit","no",2.1,4.9955525,4.6,3.85,7.35
1018,"explicit","no",3.7,2.3179274,2.2,5.3,6.75
1019,"explicit","no",2.25,5.470135,4,2.7,6.8
1020,"explicit","no",1.9,14.6817895,5.2,1.5,6.65
1021,"explicit","no",2.4,16.0742365,6.8,5.65,7.35
1022,"explicit","no",1.4,12.9702575,7.6,7.45,7.8
1023,"explicit","no",1.3,21.151365,7,4.1,6.5
1024,"explicit","no",2.5,15.0250225,4.9,4.6,7.85
1025,"explicit","no",1.2,19.22819,7.55,5.45,7.4
1026,"explicit","no",3.1,12.2823465,4.1,3.3,7.05
1027,"explicit","no",3.1,4.4878615,3.5,3.8,7.05
1028,"explicit","no",1.3,14.824782,7.45,6.55,7.75
1029,"explicit","no",2.15,6.9286085,3.85,2.45,6.45
1030,"explicit","no",2.55,10.2964075,3.7,5.65,7.8
1031,"explicit","no",1.75,17.9888105,6.3,7.4,7.95
1032,"explicit","no",3.2,7.297963,3.15,3.05,6.6
1033,"explicit","no",2.1,10.213122,3.95,7.1,7.8
1034,"explicit","no",1.45,13.1642945,6.85,7.1,7.85
1035,"explicit","no",3.05,5.555611,3.8,3.95,6.9
1036,"explicit","no",1.1,28.09475,7.9,7.6,7.95
1037,"explicit","no",4.1,4.82293,2.3,3.55,6.65
1038,"explicit","no",1.05,27.77166,7.6,7.4,8
