Subject	Group	NNN	NNY	NYN	NYY	YNN	YNY	YYN	YYY
101	1.00	764.18	805.47	738.65	809.44	706.50	756.33	721.94	738.65
102	1.00	636.41	616.88	663.47	741.56	501.06	617.94	556.00	600.75
103	1.00	545.72	632.24	553.69	760.13	258.63	611.53	507.81	627.47
104	1.00	718.69	713.00	732.94	739.12	567.06	698.44	631.18	794.35
105	1.00	1690.71	1697.47	1707.40	1736.00	1288.50	1726.24	1730.67	1631.75
106	1.00	549.76	576.35	536.22	566.88	359.59	540.94	496.19	497.53
107	1.00	703.12	714.44	771.88	673.20	623.07	808.12	817.88	868.40
108	1.00	1044.24	1137.88	962.00	1019.35	923.59	959.00	1079.94	1070.88
109	1.00	831.73	889.81	995.81	1195.41	439.24	839.71	870.38	913.06
110	1.00	781.75	825.56	830.20	868.06	601.61	868.76	808.24	828.53
111	1.00	524.44	552.50	626.35	627.88	304.29	591.69	576.25	611.56
112	1.00	1198.88	1342.56	1389.50	1450.13	1405.87	1231.06	1181.50	1337.75
113	1.00	687.13	890.35	794.18	842.63	565.47	718.29	674.65	820.88
114	1.00	1494.39	1577.61	1413.00	1488.22	1505.56	1547.88	1544.94	1523.24
115	1.00	1080.06	1314.25	1080.60	1246.71	1000.63	1121.33	1092.29	1124.31
116	1.00	767.21	550.25	609.18	600.79	338.93	586.94	541.50	596.53
117	1.00	522.07	576.61	470.23	573.67	265.27	483.00	500.25	623.31
118	1.00	475.29	587.86	541.31	553.14	396.35	582.71	502.33	530.63
119	1.00	755.38	747.06	799.17	806.09	624.69	785.67	752.00	759.00
120	1.00	737.75	1027.13	908.67	789.80	996.33	839.11	580.63	1006.67
201	2.00	879.94	933.35	862.88	971.80	585.94	943.89	873.73	985.33
202	2.00	909.53	1034.63	995.47	836.60	889.81	1062.81	823.07	1095.33
203	2.00	1315.94	1573.09	1146.47	1510.55	1035.94	1173.71	1039.75	1300.27
205	2.00	1727.65	1868.71	1955.00	1776.86	1917.56	1759.39	2005.69	1770.14
206	2.00	787.12	516.33	973.50	896.47	618.53	829.73	728.92	953.71
207	2.00	932.94	1061.47	873.71	951.29	473.94	942.63	846.89	943.76
208	2.00	739.06	755.11	699.35	681.00	703.72	740.41	607.44	733.00
210	2.00	1528.69	1576.22	1845.72	1617.87	1576.35	1644.29	1514.71	1783.47
211	2.00	1574.24	1548.12	1561.88	1628.18	1516.67	1552.06	1477.25	1546.94
212	2.00	1244.39	1299.56	1173.35	1179.11	853.06	1209.12	1216.20	1167.44
213	2.00	1533.35	1536.29	1422.69	1608.27	1524.88	1382.33	1525.29	1537.13
