Subject	Group	Sex	NNN	NNY	NYN	NYY	YNN	YNY	YYN	YYY
101	1	2.00	0.0	5.6	0.0	0.0	0.0	11.1	11.1	5.6
102	1	2.00	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0
103	1	2.00	0.0	0.0	5.6	5.6	0.0	0.0	0.0	0.0
104	1	2.00	0.0	0.0	0.0	0.0	0.0	0.0	5.6	5.6
105	1	2.00	0.0	0.0	5.6	11.1	0.0	0.0	11.1	0.0
106	1	2.00	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0
107	1	2.00	0.0	0.0	5.6	5.6	16.7	5.6	5.6	16.7
108	1	2.00	0.0	5.6	5.6	0.0	0.0	5.6	5.6	0.0
109	1	2.00	5.6	0.0	5.6	5.6	0.0	0.0	0.0	5.6
110	1	2.00	5.6	5.6	5.6	5.6	0.0	0.0	0.0	0.0
111	1	1.00	0.0	0.0	0.0	5.6	0.0	0.0	5.6	0.0
112	1	2.00	5.6	5.6	5.6	5.6	11.1	5.6	0.0	11.1
113	1	2.00	5.6	5.6	0.0	0.0	0.0	0.0	0.0	0.0
114	1	2.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6
115	1	2.00	5.6	5.6	16.7	22.2	0.0	11.1	5.6	5.6
116	1	1.00	16.7	5.6	5.6	16.7	11.1	0.0	16.7	0.0
117	1	2.00	11.1	0.0	22.2	27.8	11.1	5.6	33.3	11.1
118	1	2.00	0.0	16.7	22.2	22.2	0.0	0.0	11.1	5.6
119	1	2.00	11.1	11.1	27.8	33.3	5.6	11.1	38.9	33.3
120	1	1.00	50.0	55.6	50.0	72.2	33.3	50.0	50.0	66.7
201	2	1.00	0.0	0.0	5.6	5.6	0.0	0.0	11.1	11.1
202	2	1.00	0.0	5.6	11.1	11.1	5.6	0.0	11.1	11.1
203	2	2.00	11.1	38.9	11.1	38.9	5.6	16.7	27.8	33.3
205	2	2.00	0.0	0.0	16.7	22.2	5.6	0.0	27.8	16.7
