StartDate,EndDate,Q54_Q54_1,Q54_Q54_2,Q54_Q54_3,Q54_Q54_4,Q54_Q54_5,Q54_Q54_6,Q54_Q54_7,Q54_Q54_8,Q54_Q54_9,Q54_Q54_10,Q54_Q54_11,Q54_Q54_12,Q54_Q54_13,Q54_Q54_14,Q54_Q54_15,Q54_Q54_16,Q54_Q54_17,Q54_Q54_18,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q2_Q2_14,Q2_Q2_15,Q2_Q2_16,Q2_Q2_17,Q2_Q2_18,Q2_Q2_19,Q2_Q2_20,Q2_Q2_21,Q2_Q2_22,Q2_Q2_23,Q2_Q2_24,Q2_Q2_25,Q2_Q2_26,Q2_Q2_27,Q2_Q2_28,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q3_Q3_6,Q3_Q3_7,Q3_Q3_8,Q5,Q6,Q7,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q9,Q10,Q11,Q12,Q13,Q14,Q15,adolescent_behavior,adult_behavior,adolescent_brain,adult_brain,adolescent_brainimage,adult_brainimage,Q25,Q55_Q55_1,Q55_Q55_2,Q55_Q55_3,Q55_Q55_4,Q55_Q55_5,Q55_Q55_6,Q55_Q55_7,Q55_Q55_8,Q55_Q55_9,Q55_Q55_10,Q55_Q55_11,Q55_Q55_12,Q55_Q55_13,Q55_Q55_14,Q55_Q55_15,Q55_Q55_16,Q55_Q55_17,Q55_Q55_18,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Q34,Q35_1,Q35_2,Q35_3,Q52,Q48,Q49,Q36,Q37,Q39,Q40
2016/8/7 23:39,2016/8/7 23:40,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,1,1,1,1,,,,,,1,1,,1,,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/8/7 23:40,2016/8/7 23:46,,,,,,,,,,,,,,,,,,,1,3,,4,2,,4,,2,,2,4,2,2,2,,,,,,3,2,,2,,2,2,3,2,2,3,3,3,3,4,4,3,2,4,3,4,4,4,3,4,4,3,4,4,3,3,3,1,28,7,4,2,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,2,6,4,7,6,7,7,3,6,7,3,,3,3,4,7,6,7
2016/8/7 23:52,2016/8/7 23:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/8/7 23:53,2016/8/7 23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
2016/8/7 23:55,2016/8/7 23:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,
2016/8/7 23:56,2016/8/7 23:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/8/7 23:56,2016/8/7 23:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
2016/11/23 14:08,2016/11/23 14:09,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,1,1,1,1,,,,,,1,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/23 14:09,2016/11/23 14:12,,,,,,,,,,,,,,,,,,,2,2,,2,2,,2,,2,,2,2,2,2,2,,,,,,2,2,,2,,2,2,3,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,4,1,1,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,,4,5,6,6,6,,,,,,,
2016/11/23 14:12,2016/11/23 14:15,,,,,,,,,,,,,,,,,,,3,3,,3,3,,3,,3,,3,3,3,3,3,,,,,,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,29,7,4,2,2,1,,,,,1,,0,,,,,,,,,,,,,,,,,,,4,6,1,6,3,4,6,4,7,5,6,,3,2,2,6,6,1
2016/11/23 14:51,2016/11/23 15:21,,,,,,,,,,,,,,,,,,,4,3,,2,2,,5,,4,,4,4,2,4,3,,,,,,2,4,,3,,4,4,3,2,3,2,3,3,4,3,3,7,6,7,4,5,5,3,4,5,5,5,5,5,5,5,5,2,24,7,5,4,5,4,,,,1,,,1,,,,,,,,,,,,,,,,,,,4,7,5,4,7,6,6,4,4,5,6,,7,5,3,4,4,2
2016/11/23 15:15,2016/11/23 15:23,,,,,,,,,,,,,,,,,,,2,4,,4,2,,3,,2,,2,4,2,2,2,,,,,,4,2,,4,,4,4,3,4,4,3,3,4,4,4,4,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,4,2,2,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,4,5,3,4,4,6,3,4,6,6,6,,2,2,2,5,6,1
2016/11/23 16:10,2016/11/23 16:16,,,,,,,,,,,,,,,,,,,2,4,2,3,2,2,2,3,2,4,2,4,1,3,2,4,2,4,2,3,4,4,4,4,2,4,2,3,4,4,4,4,4,4,4,4,2,1,4,3,4,3,2,2,3,2,3,3,5,2,2,2,1,29,7,4,2,2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,5,6,4,6,6,6,5,4,7,6,5,,2,2,3,6,6,2
2016/11/23 20:42,2016/11/23 20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/23 20:46,2016/11/23 20:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016/11/23 21:37,2016/11/23 21:44,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,3,1,4,3,5,2,2,4,1,2,2,1,5,3,3,4,2,4,5,6,3,1,29,7,4,2,2,1,,,,,,1,0,,,,,,,,,,,,,,,,,,,4,5,2,6,5,7,3,4,6,6,6,1,2,2,2,5,7,1
2016/11/24 16:47,2016/11/24 16:53,4,4,4,3,4,3,4,4,3,1,2,2,1,2,2,2,2,1,2,3,3,2,2,3,4,3,1,2,3,4,1,3,4,5,2,2,4,3,2,3,4,4,2,4,4,3,2,3,3,1,3,2,3,2,5,3,7,5,5,4,5,4,4,4,5,4,6,5,5,3,1,28,6,3,2,3,5,1,,,,,,1,2,1,1,1,2,1,1,1,1,2,4,4,3,4,3,5,2,4,4,4,3,6,4,4,5,3,,,,,,,,,,
