Subject	Qtype	Image	Sside	Response	AxLab	Group
1	3	Adam.bmp	Lsource	50	C	L
1	3	Mark.bmp	Rsource	50	C	L
1	4	Adam.bmp	Lsource	62	C	L
1	4	Mark.bmp	Rsource	62	C	L
1	5	Adam.bmp	Lsource	50	C	L
1	5	Mark.bmp	Rsource	50	C	L
1	6	Adam.bmp	Lsource	38	C	L
1	6	Mark.bmp	Rsource	42	C	L
5	3	Adam.bmp	Lsource	70	C	L
5	3	Mark.bmp	Rsource	73	C	L
5	4	Adam.bmp	Lsource	72	C	L
5	4	Mark.bmp	Rsource	62	C	L
5	5	Adam.bmp	Lsource	59	C	L
5	5	Mark.bmp	Rsource	38	C	L
5	6	Adam.bmp	Lsource	16	C	L
5	6	Mark.bmp	Rsource	13	C	L
9	3	Adam.bmp	Lsource	50	C	L
9	3	Mark.bmp	Rsource	50	C	L
9	4	Adam.bmp	Lsource	61	C	L
9	4	Mark.bmp	Rsource	59	C	L
9	5	Adam.bmp	Lsource	50	C	L
9	5	Mark.bmp	Rsource	50	C	L
9	6	Adam.bmp	Lsource	50	C	L
9	6	Mark.bmp	Rsource	50	C	L
13	3	Adam.bmp	Lsource	72	C	L
13	3	Mark.bmp	Rsource	64	C	L
13	4	Adam.bmp	Lsource	72	C	L
13	4	Mark.bmp	Rsource	62	C	L
13	5	Adam.bmp	Lsource	81	C	L
13	5	Mark.bmp	Rsource	50	C	L
13	6	Adam.bmp	Lsource	59	C	L
13	6	Mark.bmp	Rsource	1	C	L
17	3	Adam.bmp	Lsource	82	C	L
17	3	Mark.bmp	Rsource	30	C	L
17	4	Adam.bmp	Lsource	85	C	L
17	4	Mark.bmp	Rsource	67	C	L
17	5	Adam.bmp	Lsource	27	C	L
17	5	Mark.bmp	Rsource	22	C	L
17	6	Adam.bmp	Lsource	55	C	L
17	6	Mark.bmp	Rsource	41	C	L
21	3	Adam.bmp	Lsource	67	C	L
21	3	Mark.bmp	Rsource	65	C	L
21	4	Adam.bmp	Lsource	81	C	L
21	4	Mark.bmp	Rsource	78	C	L
21	5	Adam.bmp	Lsource	68	C	L
21	5	Mark.bmp	Rsource	62	C	L
21	6	Adam.bmp	Lsource	32	C	L
21	6	Mark.bmp	Rsource	41	C	L
25	3	Adam.bmp	Lsource	27	C	L
25	3	Mark.bmp	Rsource	76	C	L
25	4	Adam.bmp	Lsource	58	C	L
