Oord,C_R,L_R,Sno,SID,FixSrcBnd,VarSrcBnd,B1,B2,DirShift,DirFix,DirVar,AlShift,AlFix,AlVar,VarP,VarPClip,FixPClip,Outlier,Kvary,Kfix,TrustVary,TrustFixed,AccVary,AccFixed,AttVary,AttFixed,Kdiff,Tdiff,AccDiff,AttDiff,MnDiff
1,C,LB,1,CLB1,165,43,154,153,0,11,-111,0,11,111,0.1,0.1,0.9,0,64,81,68,76,68,81,56,58,17,8,13,2,12.7
2,C,LB,2,CLB2,165,91,154,171,17,11,-63,17,11,63,-0.08,0.01,0.99,0,1,1,50,50,50,50,1,1,0,0,0,0,0
3,C,LB,3,CLB3,165,49,169,136,-33,-4,-120,-33,-4,120,0.25,0.25,0.75,0,76,44,75,52,65,53,58,36,-32,-23,-12,-22,-22.3
4,C,LB,4,CLB4,165,114,207,154,-53,-42,-93,-53,-42,93,0.21,0.21,0.79,0,53,64,58,55,53,50,50,50,11,-3,-3,0,1.7
5,C,LB,5,CLB5,165,57,146,146,0,19,-89,0,19,89,0.17,0.17,0.83,0,33,50,61,79,55,73,72,53,17,18,18,-19,17.7
6,C,LB,6,CLB6,165,92,154,154,0,11,-62,0,11,62,0.15,0.15,0.85,0,73,88,78,96,96,96,64,15,15,18,0,-49,11
7,C,LB,7,CLB7,165,124,153,150,-3,12,-29,-3,12,29,0.37,0.37,0.63,0,76,98,81,95,79,90,28,24,22,14,11,-4,15.7
8,C,LB,8,CLB8,165,103,150,120,-30,15,-47,-30,15,47,0.72,0.72,0.28,0,52,50,56,55,45,45,41,36,-2,-1,0,-5,-1
9,C,LB,9,CLB9,165,121,157,139,-18,8,-36,-18,8,36,0.59,0.59,0.41,0,99,50,98,84,98,82,50,50,-49,-14,-16,0,-26.3
10,C,LB,10,CLB10,165,129,136,127,-9,29,-7,-9,29,7,1.07,0.99,0.01,0,27,73,65,99,56,75,41,47,46,34,19,6,33
11,C,LB,11,CLB11,165,78,150,150,0,15,-72,0,15,72,0.17,0.17,0.83,0,53,64,61,72,50,61,1,56,11,11,11,55,11
12,C,LB,12,CLB12,165,67,146,128,-19,19,-79,-19,19,79,0.38,0.38,0.62,0,16,42,50,90,42,70,50,45,26,40,28,-5,31.3
13,C,LB,13,CLB13,165,44,132,164,32,33,-88,32,33,88,0.01,0.01,0.99,0,24,81,47,64,32,70,35,33,57,17,38,-2,37.3
15,C,LB,15,CLB15,165,47,138,123,-16,27,-91,-16,27,91,0.36,0.36,0.64,0,32,73,59,81,39,76,42,42,41,22,37,0,33.3
16,C,LB,16,CLB16,165,122,157,143,-14,8,-35,-14,8,35,0.51,0.51,0.49,0,35,67,39,55,50,50,1,1,32,16,0,0,16
34,R,LB,1,RLB1,165,103,161,143,-17,4,-58,-17,4,58,0.35,0.35,0.65,0,58,64,78,76,72,72,50,50,6,-2,0,0,1.3
35,R,LB,2,RLB2,165,49,140,146,7,25,-91,7,25,91,0.16,0.16,0.84,0,16,30,50,50,1,1,1,15,14,0,0,14,4.7
36,R,LB,3,RLB3,165,103,147,147,0,18,-44,0,18,44,0.3,0.3,0.7,0,22,96,62,90,7,96,87,18,74,28,89,-69,63.7
37,R,LB,4,RLB4,165,85,157,157,0,8,-72,0,8,72,0.1,0.1,0.9,0,50,50,41,56,50,50,53,53,0,15,0,0,5
38,R,LB,5,RLB5,165,105,150,117,-33,15,-45,-33,15,45,0.81,0.81,0.19,0,75,36,87,72,81,64,50,50,-39,-15,-17,0,-23.7
39,R,LB,6,RLB6,165,91,172,93,-79,-7,-81,-79,-7,81,0.97,0.97,0.03,1,30,75,35,76,36,72,50,50,45,41,36,0,40.7
40,R,LB,7,RLB7,165,79,150,136,-14,15,-71,-14,15,71,0.34,0.34,0.66,0,56,81,55,84,41,88,47,47,25,29,47,0,33.7
41,R,LB,8,RLB8,165,76,150,120,-30,15,-74,-30,15,74,0.51,0.51,0.49,0,50,61,35,67,35,65,18,16,11,32,30,-2,24.3
42,R,LB,9,RLB9,165,103,143,143,0,22,-40,0,22,40,0.35,0.35,0.65,0,90,84,82,76,82,81,41,67,-6,-6,-1,26,-4.3
43,R,LB,10,RLB10,165,34,164,83,-81,1,-130,-81,1,130,0.62,0.62,0.38,1,42,53,45,52,53,39,42,8,11,7,-14,-34,1.3
44,R,LB,11,RLB11,165,95,150,146,-4,15,-55,-4,15,55,0.27,0.27,0.73,0,64,67,78,81,65,65,19,30,3,3,0,11,2
45,R,LB,12,RLB12,165,85,150,104,-46,15,-65,-46,15,65,0.76,0.76,0.24,0,50,48,50,50,50,50,50,50,-2,0,0,0,-0.7
46,R,LB,13,RLB13,165,60,150,153,3,15,-90,3,15,90,0.11,0.11,0.89,0,52,42,53,47,50,48,30,24,-10,-6,-2,-6,-6
47,R,LB,14,RLB14,165,36,150,143,-7,15,-114,-7,15,114,0.17,0.17,0.83,0,98,95,19,96,38,62,76,22,-3,77,24,-54,32.7
