PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,alshift,Zalshift,t1dist
one25_C_125_1,one25,SP-C,125,left,1,1,9.928810199,-0.068481624,144.9850278,19.71375693,-0.123210829,160.0001974,15.01516961,-15.01516961,0.171498585,-19.98502776
one25_C_125_10,one25,Sp-C,125,left,10,2,17.24949172,-0.123210829,139.9998026,559.1029953,-4.141441473,135.0020274,-4.997775208,4.997775208,0.171498585,-14.99980263
one25_C_125_17,one25,SP-C,125,left,17,1,15.28301111,-0.101886741,150,5.887318891,-0.04550183,129.3864206,-20.61357938,20.61357938,0.171498585,-25
one25_C_125_19,one25,SP-C,125,left,19,1,10.12723416,-0.054539843,185.6850637,18.99619921,-0.131008306,144.9999607,-40.68510303,40.68510303,0.171498585,-60.68506369
one25_C_125_2,one25,SP-C,125,left,2,2,9.429956544,-0.058908577,160.0778186,7.690431441,-0.067026311,114.7375004,-45.34031821,45.34031821,0.171498585,-35.07781863
one25_C_125_20,one25,SP-C,125,left,20,2,10.49707253,-0.063587161,165.0816357,8.194707421,-0.056533446,144.9532613,-20.12837437,20.12837437,0.171498585,-40.08163567
one25_C_125_27,one25,SP-C,125,left,27,1,15.89292991,-0.088276786,180.0352133,5.825961387,-0.048882809,119.1822132,-60.8530001,60.8530001,0.171498585,-55.03521328
one25_C_125_28,one25,SP-C,125,left,28,2,643.4903041,-4.151569515,154.9992844,27.45973984,-0.189377516,144.9999998,-9.999284604,9.999284604,0.171498585,-29.99928445
one25_C_125_9,one25,Sp-C,125,left,9,1,12.19260209,-0.101615809,119.9872558,4.187072734,-0.032716794,127.9793092,7.992053338,-7.992053338,0.171498585,5.012744153
one25_C_175_11,one25,SP-C,175,right,11,1,28.54961494,-0.167938894,170.000018,30.22759236,-0.167930979,180.0000964,10.00007849,10.00007849,0.171498585,4.999982046
one25_C_175_12,one25,SP-C,175,right,12,2,9.958444865,-0.058513547,170.1904159,7.571886202,-0.050479241,150,-20.19041587,-20.19041587,0.171498585,4.809584129
one25_C_175_21,one25,SP-C,175,right,21,1,23.51167858,-0.167940565,139.9999968,351.3821559,-2.066953858,170,30.00000324,30.00000324,0.171498585,35.00000324
one25_C_175_22,one25,SP-C,175,right,22,2,15.98027242,-0.091306679,175.0175619,36.92063883,-0.189336266,195.0003539,19.98279205,19.98279205,0.171498585,-0.01756187
one25_C_175_29,one25,SP-C,175,right,29,1,29.35351506,-0.189377516,155.0000002,18.29214065,-0.101615809,180.0127442,25.012744,25.012744,0.171498585,19.99999985
one25_C_175_3,one25,SP-C,175,right,3,1,11.13324531,-0.079529607,139.988687,721.5460447,-4.123193088,174.9969088,35.00822176,35.00822176,0.171498585,35.01131298
one25_C_175_30,one25,SP-C,175,right,30,2,351.3821559,-2.066953858,170,18.48241774,-0.123216118,150,-20,-20,0.171498585,5
one25_C_175_4,one25,SP-C,175,right,4,2,5.74194487,-0.038279632,150,15.98027242,-0.091306679,175.0175619,25.01756187,25.01756187,0.171498585,25
one25_R_125_13,one25,SP-R,125,left,13,1,-8.460977786,0.052835585,160.1378644,-8.681109758,0.059883745,144.9660471,-15.17181737,15.17181737,0.171498585,-35.13786443
one25_R_125_14,one25,SP-R,125,left,14,2,-31.24726177,0.189377343,165.0000012,-471.522798,4.100055216,115.0040117,-49.99598952,49.99598952,0.171498585,-40.0000012
one25_R_125_23,one25,SP-R,125,left,23,1,-721.5460447,4.123193088,174.9969088,-13.4485472,0.081498404,165.0160808,-9.980827961,9.980827961,0.171498585,-49.99690878
one25_R_125_24,one25,SP-R,125,left,24,2,-11.93766339,0.079584423,150,-6.172602753,0.044188848,139.6868891,-10.31311086,10.31311086,0.171498585,-25
one25_R_125_31,one25,SP-R,125,left,31,1,-721.5460447,4.123193088,174.9969088,-7.166545591,0.05523562,129.7450025,-45.25190631,45.25190631,0.171498585,-49.99690878
one25_R_125_32,one25,SP-R,125,left,32,2,-25.19112685,0.167940846,150,-5.838790109,0.056188152,103.9149688,-46.08503117,46.08503117,0.171498585,-25
one25_R_125_5,one25,SP-R,125,left,5,1,-18.99619921,0.131008306,144.9999607,-11.00097396,0.081498404,134.9839192,-10.01604148,10.01604148,0.171498585,-19.99996066
one25_R_125_6,one25,SP-R,125,left,6,2,-10.60386795,0.062325894,170.135833,-12.19260209,0.101615809,119.9872558,-50.1485772,50.1485772,0.171498585,-45.13583304
one25_R_175_15,one25,SP-R,175,right,15,1,-601.9805503,4.151569515,145.0007156,-370.142293,2.056346072,180,34.99928445,34.99928445,0.171498585,29.99928445
one25_R_175_16,one25,SP-R,175,right,16,2,-22.92037515,0.130973018,175.0007412,-331.8833088,2.07427068,160,-15.00074124,-15.00074124,0.171498585,-0.000741238
one25_R_175_18,one25,SP-R,175,right,18,2,-5.987419248,0.038562991,155.2633504,-26.87049098,0.167940565,160.0000032,4.736652793,4.736652793,0.171498585,19.73664956
one25_R_175_25,one25,SP-R,175,right,25,1,-10.74748163,0.067156687,160.0359123,-11.05217373,0.063089865,175.1814456,15.14553335,15.14553335,0.171498585,14.96408774
one25_R_175_26,one25,SP-R,175,right,26,2,-11.37092765,0.066851957,170.0911709,-351.3821559,2.066953858,170,-0.091170928,-0.091170928,0.171498585,4.908829072
one25_R_175_33,one25,SP-R,175,right,33,1,-7.3492033,0.044411531,165.4796209,-11.00097396,0.081498404,134.9839192,-30.49570171,-30.49570171,0.171498585,9.520379114
one25_R_175_34,one25,SP-R,175,right,34,2,-2.920173408,0.013647462,213.9719053,-8.838881373,0.048882809,180.8177868,-33.15411848,-33.15411848,0.171498585,-38.9719053
one25_R_175_7,one25,SP-R,175,right,7,1,15.06043467,-0.088583587,170.0138274,-3.573879114,0.026989623,132.4167854,-37.59704208,-37.59704208,0.171498585,4.986172555
one15_C_135_13,one15,SP-C,135,left,13,1,8.912746501,-0.055667941,160.1055539,30.22759236,-0.167930979,180.0000964,19.89454254,-19.89454254,-1.229435304,-25.1055539
one15_C_135_14,one15,SP-C,135,left,14,2,15.06043467,-0.088583587,170.0138274,601.9805504,-4.151569515,145.0007156,-25.01311189,25.01311189,0.64100285,-35.01382745
one15_C_135_24,one15,SP-C,135,left,24,2,290.3978952,-2.07427068,140,20.15170125,-0.167930979,119.9999036,-20.00009644,20.00009644,0.432206923,-5
one15_C_135_37,one15,SP-C,135,left,37,1,370.142293,-2.056346072,180,370.142293,-2.056346072,180,0,0,-0.400812391,-45
one15_C_135_38,one15,SP-C,135,left,38,2,351.3821559,-2.066953858,170,758.4937669,-4.100055216,184.9959883,14.99598832,-14.99598832,-1.025406774,-35
one15_C_135_39,one15,SP-C,135,left,39,1,311.5337142,-2.076891428,150,18.48241774,-0.123216118,150,2.84E-14,-2.84E-14,-0.400812391,-15
one15_C_135_5,one15,SP-C,135,left,5,1,12.72563689,-0.079529607,160.011313,8.194707421,-0.056533446,144.9532613,-15.05805168,15.05805168,0.226366979,-25.01131298
one15_C_135_6,one15,SP-C,135,left,6,2,11.93766339,-0.079584423,150,10.08709197,-0.06724728,150,0,0,-0.400812391,-15
one15_C_165_1,one15,SP-C,165,right,1,1,331.8833088,-2.07427068,160,27.45973984,-0.189377516,144.9999998,-15.00000015,-15.00000015,-1.02557387,5
one15_C_165_10,one15,SP-C,165,right,10,2,14.19460574,-0.088713617,160.004813,33.14085329,-0.189376296,175.000008,14.99519499,14.99519499,0.223748949,4.995186989
one15_C_165_19,one15,SP-C,165,right,19,1,18.99619921,-0.131008306,144.9999607,370.142293,-2.056346072,180,35.00003934,35.00003934,1.056966017,20.00003934
one15_C_165_2,one15,SP-C,165,right,2,2,8.854295053,-0.059028634,150,17.30618288,-0.101798398,170.0044722,20.00447221,20.00447221,0.432389177,15
one15_C_165_20,one15,SP-C,165,right,20,2,18.55880343,-0.106047063,175.0053507,13.48981412,-0.079337524,170.0306927,-4.974657978,-4.974657978,-0.608010701,-10.00535069
one15_C_165_26,one15,SP-C,165,right,26,2,311.5337142,-2.076891428,150,8.242616629,-0.058908577,139.9221814,-10.07781863,-10.07781863,-0.820561245,15
one15_C_165_27,one15,SP-C,165,right,27,1,6.741791781,-0.035827045,188.1760485,2.761021529,-0.013488942,204.687779,16.51173048,16.51173048,0.286913813,-23.17604855
one15_C_165_34,one15,SP-C,165,right,34,2,11.93286543,-0.066220874,180.1979461,6.800711425,-0.041052741,165.6579126,-14.5400335,-14.5400335,-1.006415907,-15.19794608
one15_C_165_42,one15,SP-C,165,right,42,2,10.16530901,-0.072620528,139.9784501,11.37092765,-0.066851957,170.0911709,30.11272085,30.11272085,0.853405464,25.02154992
one15_C_165_9,one15,SP-C,165,right,9,1,2.835928785,-0.013133677,215.9280058,10.08709197,-0.06724728,150,-65.92800582,-65.92800582,-3.146764258,-50.92800582
one15_R_135_16,one15,SP-R,135,left,16,2,13.4485472,-0.081498404,165.0160808,12.91025296,-0.073741565,175.0743004,10.0582196,-10.0582196,-0.81974493,-30.01608082
one15_R_135_17,one15,SP-R,135,left,17,1,29.35351506,-0.189377516,155.0000002,6.790899658,-0.05237047,129.6703977,-25.32960249,25.32960249,0.654184926,-20.00000015
one15_R_135_18,one15,SP-R,135,left,18,2,31.90004234,-0.167894502,190.0005183,4.885537129,-0.032570248,150,-40.00051833,40.00051833,1.265239792,-55.00051833
one15_R_135_25,one15,SP-R,135,left,25,1,268.7040016,-2.066953858,130,21.83205317,-0.167938894,129.999982,-1.80E-05,1.80E-05,-0.400811643,5
one15_R_135_40,one15,SP-R,135,left,40,2,29.35351506,-0.189377516,155.0000002,331.8833088,-2.07427068,160,4.999999846,-4.999999846,-0.609066209,-20.00000015
one15_R_135_41,one15,SP-R,135,left,41,1,19.71375693,-0.123210829,160.0001974,5.392349605,-0.037265447,144.7010578,-15.29913957,15.29913957,0.236408474,-25.00019737
one15_R_135_43,one15,SP-R,135,left,43,1,16.37153011,-0.130973018,124.9992588,8.323857705,-0.079451059,104.7671083,-20.23215051,20.23215051,0.441872152,10.00074124
one15_R_135_7,one15,SP-R,135,left,7,1,16.2991194,-0.101868592,160.0014198,13.23333644,-0.101798398,129.9955278,-30.00589204,30.00589204,0.848955962,-25.00141983
one15_R_135_8,one15,SP-R,135,left,8,2,18.55880343,-0.106047063,175.0053507,9.429956544,-0.058908577,160.0778186,-14.92753205,14.92753205,0.220930736,-40.00535069
one15_R_165_11,one15,SP-R,165,right,11,1,9.463567302,-0.078910871,119.9272951,10.74748163,-0.067156687,160.0359123,40.10861715,40.10861715,1.26974219,45.07270489
one15_R_165_12,one15,SP-R,165,right,12,2,559.1029953,-4.141441473,135.0020274,26.87049098,-0.167940565,160.0000032,24.99797581,24.99797581,0.640372421,29.99797258
one15_R_165_21,one15,SP-R,165,right,21,1,13.31240755,-0.088749384,150,23.51167858,-0.167940565,139.9999968,-10.00000324,-10.00000324,-0.817320174,15
one15_R_165_22,one15,SP-R,165,right,22,2,11.83236449,-0.081604933,144.9957011,4.218663552,-0.024144919,174.7226228,29.72692166,29.72692166,0.837336633,20.00429885
one15_R_165_3,one15,SP-R,165,right,3,1,7.933396683,-0.066220874,119.8020539,388.3928876,-2.044173092,190,70.19794608,70.19794608,2.522985754,45.19794608
one15_R_165_35,one15,SP-R,165,right,35,1,10.00055879,-0.074095444,134.9686055,19.71375693,-0.123210829,160.0001974,25.03159187,25.03159187,0.641772556,30.0313945
one15_R_165_36,one15,SP-R,165,right,36,2,7.763230053,-0.04550183,170.6135794,9.759175374,-0.055657978,175.3418956,4.728316221,4.728316221,-0.203874404,-5.613579383
one15_R_165_4,one15,SP-R,165,right,4,2,16.2991194,-0.101868592,160.0014198,311.5337142,-2.076891428,150,-10.00141983,-10.00141983,-0.817379176,4.998580171
none_C_pass_11,none,C,NA,control,11,1,11.37092765,-0.066851957,170.0911709,17.55206639,-0.089955079,195.1203492,25.02917828,25.02917828,-0.1251598,NA
none_C_pass_110,none,C,NA,control,110,2,643.4903041,-4.151569515,154.9992844,351.3821559,-2.066953858,170,15.00071555,15.00071555,-0.176820897,NA
none_C_pass_12,none,C,NA,control,12,2,6.945626295,-0.044768805,155.1443308,3.603996749,-0.037985245,94.87885905,-60.26547173,-60.26547173,-0.564550698,NA
none_C_pass_13,none,C,NA,control,13,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-0.409953337,NA
