Subject	TrialNo	Ttype	CookRaw	FarSrc	Pic	Response	RT
1	1	Grid1	C	L	100	1	4009
1	2	Grid1	C	L	80	1	1503
1	3	Grid1	C	L	170	0	1162
1	4	Grid1	C	L	70	1	1302
1	5	Grid1	C	L	160	0	1215
1	6	Grid1	C	L	220	0	1543
1	7	Grid1	C	L	130	1	1967
1	8	Grid1	C	L	120	1	1343
1	9	Grid1	C	L	240	0	1008
1	10	Grid1	C	L	230	0	1039
1	11	Grid1	C	L	160	1	2543
1	12	Grid1	C	L	120	1	1036
1	13	Grid1	C	L	130	1	1002
1	14	Grid1	C	L	150	0	3146
1	15	Grid1	C	L	190	0	1667
1	16	Grid1	C	L	60	1	1065
1	17	Grid1	C	L	100	1	1389
1	18	Grid1	C	L	210	0	887
1	19	Grid1	C	L	90	1	1211
1	20	Grid1	C	L	210	0	766
1	21	Grid1	C	L	200	0	668
1	22	Grid1	C	L	60	1	849
1	23	Grid1	C	L	140	1	2830
1	24	Grid1	C	L	180	0	1305
1	25	Grid1	C	L	140	1	1216
1	26	Grid1	C	L	180	0	658
1	27	Grid1	C	L	70	1	629
1	28	Grid1	C	L	240	0	547
1	29	Grid1	C	L	90	1	800
1	30	Grid1	C	L	190	0	527
1	31	Grid1	C	L	220	0	631
1	32	Grid1	C	L	170	0	1524
1	33	Grid1	C	L	150	1	1957
1	34	Grid1	C	L	110	1	657
1	35	Grid1	C	L	200	0	677
1	36	Grid1	C	L	110	1	1164
1	37	Grid1	C	L	80	1	884
1	38	Grid1	C	L	230	0	724
2	1	Grid1	C	R	180	1	6237
2	2	Grid1	C	R	230	0	1039
2	3	Grid1	C	R	190	1	4563
2	4	Grid1	C	R	90	1	1528
2	5	Grid1	C	R	60	1	951
2	6	Grid1	C	R	80	1	683
2	7	Grid1	C	R	240	0	555
2	8	Grid1	C	R	200	0	1125
2	9	Grid1	C	R	130	1	1036
2	10	Grid1	C	R	90	1	746
2	11	Grid1	C	R	120	1	518
2	12	Grid1	C	R	240	0	739
2	13	Grid1	C	R	70	1	1736
2	14	Grid1	C	R	70	1	420
2	15	Grid1	C	R	140	1	2244
2	16	Grid1	C	R	170	0	1860
2	17	Grid1	C	R	200	0	560
2	18	Grid1	C	R	210	0	454
2	19	Grid1	C	R	120	1	771
2	20	Grid1	C	R	100	1	475
2	21	Grid1	C	R	160	0	5232
2	22	Grid1	C	R	190	0	627
2	23	Grid1	C	R	210	0	514
2	24	Grid1	C	R	140	1	891
2	25	Grid1	C	R	180	0	1656
2	26	Grid1	C	R	100	1	1236
2	27	Grid1	C	R	230	0	492
2	28	Grid1	C	R	130	1	1042
2	29	Grid1	C	R	220	0	723
2	30	Grid1	C	R	110	1	1513
2	31	Grid1	C	R	160	0	958
2	32	Grid1	C	R	150	1	1938
2	33	Grid1	C	R	110	1	622
2	34	Grid1	C	R	220	0	652
2	35	Grid1	C	R	170	1	2932
2	36	Grid1	C	R	80	1	578
2	37	Grid1	C	R	150	1	744
2	38	Grid1	C	R	60	1	598
3	1	Grid1	R	L	140	1	788
3	2	Grid1	R	L	230	1	1000
3	3	Grid1	R	L	100	0	694
3	4	Grid1	R	L	210	1	634
3	5	Grid1	R	L	220	1	458
3	6	Grid1	R	L	180	0	523
3	7	Grid1	R	L	190	1	725
3	8	Grid1	R	L	180	1	412
3	9	Grid1	R	L	70	0	417
3	10	Grid1	R	L	240	1	632
3	11	Grid1	R	L	160	1	1105
3	12	Grid1	R	L	130	1	657
3	13	Grid1	R	L	60	0	709
3	14	Grid1	R	L	190	1	611
3	15	Grid1	R	L	230	1	666
3	16	Grid1	R	L	70	0	593
3	17	Grid1	R	L	90	0	403
3	18	Grid1	R	L	200	1	476
3	19	Grid1	R	L	100	0	620
3	20	Grid1	R	L	150	0	518
3	21	Grid1	R	L	160	0	397
3	22	Grid1	R	L	80	1	573
3	23	Grid1	R	L	60	0	397
3	24	Grid1	R	L	110	0	371
3	25	Grid1	R	L	240	1	545
3	26	Grid1	R	L	90	0	711
3	27	Grid1	R	L	80	0	433
3	28	Grid1	R	L	120	0	414
3	29	Grid1	R	L	120	0	437
3	30	Grid1	R	L	200	1	517
3	31	Grid1	R	L	170	1	446
3	32	Grid1	R	L	140	1	452
3	33	Grid1	R	L	110	0	682
3	34	Grid1	R	L	220	1	570
3	35	Grid1	R	L	150	0	981
3	36	Grid1	R	L	170	0	1198
3	37	Grid1	R	L	130	0	407
3	38	Grid1	R	L	210	1	659
4	1	Grid1	R	R	110	1	2044
4	2	Grid1	R	R	120	1	1271
4	3	Grid1	R	R	180	0	1125
4	4	Grid1	R	R	150	1	1401
4	5	Grid1	R	R	80	1	1552
4	6	Grid1	R	R	130	1	987
4	7	Grid1	R	R	220	0	759
4	8	Grid1	R	R	180	0	1000
4	9	Grid1	R	R	210	0	617
4	10	Grid1	R	R	100	1	693
4	11	Grid1	R	R	170	0	653
4	12	Grid1	R	R	160	0	667
4	13	Grid1	R	R	220	0	1236
4	14	Grid1	R	R	230	0	1012
4	15	Grid1	R	R	160	1	750
4	16	Grid1	R	R	190	0	1149
4	17	Grid1	R	R	200	0	697
4	18	Grid1	R	R	240	0	1194
4	19	Grid1	R	R	170	1	1325
4	20	Grid1	R	R	240	0	816
4	21	Grid1	R	R	110	1	818
4	22	Grid1	R	R	100	1	774
4	23	Grid1	R	R	90	1	528
4	24	Grid1	R	R	90	1	733
4	25	Grid1	R	R	140	1	713
4	26	Grid1	R	R	210	0	649
4	27	Grid1	R	R	60	1	479
4	28	Grid1	R	R	70	1	366
4	29	Grid1	R	R	80	1	352
4	30	Grid1	R	R	120	1	306
4	31	Grid1	R	R	200	0	583
4	32	Grid1	R	R	140	1	701
4	33	Grid1	R	R	190	0	1305
4	34	Grid1	R	R	60	1	478
4	35	Grid1	R	R	130	0	732
4	36	Grid1	R	R	70	1	601
4	37	Grid1	R	R	230	0	638
4	38	Grid1	R	R	150	1	1041
5	1	Grid1	C	L	200	0	1388
5	2	Grid1	C	L	120	1	4151
5	3	Grid1	C	L	220	0	911
5	4	Grid1	C	L	230	0	1038
5	5	Grid1	C	L	70	1	756
5	6	Grid1	C	L	210	0	956
5	7	Grid1	C	L	100	1	1023
5	8	Grid1	C	L	240	0	708
5	9	Grid1	C	L	160	0	654
5	10	Grid1	C	L	90	1	1240
5	11	Grid1	C	L	140	1	3245
5	12	Grid1	C	L	180	0	614
5	13	Grid1	C	L	80	1	1030
5	14	Grid1	C	L	60	1	711
5	15	Grid1	C	L	170	0	646
5	16	Grid1	C	L	130	1	2005
5	17	Grid1	C	L	210	0	551
5	18	Grid1	C	L	110	1	807
5	19	Grid1	C	L	150	0	544
5	20	Grid1	C	L	200	0	664
5	21	Grid1	C	L	180	0	459
5	22	Grid1	C	L	220	0	510
5	23	Grid1	C	L	100	1	713
5	24	Grid1	C	L	120	1	512
5	25	Grid1	C	L	160	1	686
5	26	Grid1	C	L	130	1	477
5	27	Grid1	C	L	70	1	456
5	28	Grid1	C	L	230	0	516
5	29	Grid1	C	L	140	0	650
5	30	Grid1	C	L	150	1	2286
5	31	Grid1	C	L	190	0	538
5	32	Grid1	C	L	90	1	643
5	33	Grid1	C	L	190	0	1190
5	34	Grid1	C	L	170	0	465
5	35	Grid1	C	L	110	1	565
5	36	Grid1	C	L	240	0	609
5	37	Grid1	C	L	60	1	562
5	38	Grid1	C	L	80	1	574
6	1	Grid1	C	R	220	0	1422
6	2	Grid1	C	R	60	1	644
6	3	Grid1	C	R	240	0	455
6	4	Grid1	C	R	70	1	397
6	5	Grid1	C	R	170	0	307
6	6	Grid1	C	R	210	0	2235
6	7	Grid1	C	R	70	1	482
6	8	Grid1	C	R	140	1	1128
6	9	Grid1	C	R	130	1	477
6	10	Grid1	C	R	160	1	845
6	11	Grid1	C	R	60	1	664
6	12	Grid1	C	R	170	1	546
6	13	Grid1	C	R	90	1	418
6	14	Grid1	C	R	220	0	678
6	15	Grid1	C	R	80	1	376
6	16	Grid1	C	R	150	1	1162
6	17	Grid1	C	R	120	1	451
6	18	Grid1	C	R	80	1	511
6	19	Grid1	C	R	160	1	1130
6	20	Grid1	C	R	230	0	445
6	21	Grid1	C	R	130	1	904
6	22	Grid1	C	R	240	0	569
6	23	Grid1	C	R	210	0	2250
6	24	Grid1	C	R	190	0	489
6	25	Grid1	C	R	100	1	439
6	26	Grid1	C	R	230	0	699
6	27	Grid1	C	R	110	1	481
6	28	Grid1	C	R	140	1	576
6	29	Grid1	C	R	110	1	408
6	30	Grid1	C	R	120	1	418
6	31	Grid1	C	R	200	0	580
6	32	Grid1	C	R	180	0	441
6	33	Grid1	C	R	150	1	399
6	34	Grid1	C	R	90	1	417
6	35	Grid1	C	R	200	0	697
6	36	Grid1	C	R	190	0	632
6	37	Grid1	C	R	180	0	565
6	38	Grid1	C	R	100	1	534
7	1	Grid1	R	L	180	1	2226
7	2	Grid1	R	L	120	0	1207
7	3	Grid1	R	L	230	1	1772
7	4	Grid1	R	L	200	1	2624
7	5	Grid1	R	L	70	0	742
7	6	Grid1	R	L	130	0	828
7	7	Grid1	R	L	160	1	3447
7	8	Grid1	R	L	120	0	1217
7	9	Grid1	R	L	150	1	3132
7	10	Grid1	R	L	200	1	979
7	11	Grid1	R	L	90	0	712
7	12	Grid1	R	L	90	0	514
7	13	Grid1	R	L	100	0	476
7	14	Grid1	R	L	140	1	913
7	15	Grid1	R	L	160	1	781
7	16	Grid1	R	L	180	1	1573
7	17	Grid1	R	L	80	0	510
7	18	Grid1	R	L	60	0	407
7	19	Grid1	R	L	60	0	449
7	20	Grid1	R	L	150	1	469
7	21	Grid1	R	L	210	1	488
7	22	Grid1	R	L	170	1	1166
7	23	Grid1	R	L	220	1	764
7	24	Grid1	R	L	80	0	596
7	25	Grid1	R	L	240	1	539
7	26	Grid1	R	L	110	0	471
7	27	Grid1	R	L	140	1	620
7	28	Grid1	R	L	130	0	940
7	29	Grid1	R	L	230	1	554
7	30	Grid1	R	L	190	1	927
7	31	Grid1	R	L	240	1	556
7	32	Grid1	R	L	110	0	682
7	33	Grid1	R	L	100	0	930
7	34	Grid1	R	L	190	1	727
7	35	Grid1	R	L	210	1	676
7	36	Grid1	R	L	170	1	1576
7	37	Grid1	R	L	220	1	787
7	38	Grid1	R	L	70	0	1230
8	1	Grid1	R	R	150	0	2210
8	2	Grid1	R	R	110	0	1128
8	3	Grid1	R	R	160	0	1798
8	4	Grid1	R	R	240	1	826
8	5	Grid1	R	R	60	0	655
8	6	Grid1	R	R	220	1	682
8	7	Grid1	R	R	180	0	1946
8	8	Grid1	R	R	100	0	923
8	9	Grid1	R	R	210	1	702
8	10	Grid1	R	R	90	0	574
8	11	Grid1	R	R	210	1	660
8	12	Grid1	R	R	220	1	680
8	13	Grid1	R	R	190	1	873
8	14	Grid1	R	R	140	0	1105
8	15	Grid1	R	R	90	0	584
8	16	Grid1	R	R	240	1	826
8	17	Grid1	R	R	100	0	468
8	18	Grid1	R	R	140	0	679
8	19	Grid1	R	R	80	0	536
8	20	Grid1	R	R	120	0	852
8	21	Grid1	R	R	180	1	1064
8	22	Grid1	R	R	120	0	1874
8	23	Grid1	R	R	170	1	1098
8	24	Grid1	R	R	80	0	672
8	25	Grid1	R	R	190	1	1184
8	26	Grid1	R	R	60	0	541
8	27	Grid1	R	R	200	1	653
8	28	Grid1	R	R	70	0	575
8	29	Grid1	R	R	160	1	597
8	30	Grid1	R	R	150	1	615
8	31	Grid1	R	R	70	0	477
8	32	Grid1	R	R	230	1	533
8	33	Grid1	R	R	130	0	656
8	34	Grid1	R	R	230	1	749
8	35	Grid1	R	R	110	0	430
8	36	Grid1	R	R	200	1	431
8	37	Grid1	R	R	170	0	2244
8	38	Grid1	R	R	130	0	674
9	1	Grid1	C	L	90	1	2341
9	2	Grid1	C	L	80	1	664
9	3	Grid1	C	L	100	1	282
9	4	Grid1	C	L	130	0	415
9	5	Grid1	C	L	200	0	937
9	6	Grid1	C	L	190	0	434
9	7	Grid1	C	L	140	0	1245
9	8	Grid1	C	L	210	0	2231
9	9	Grid1	C	L	180	0	747
9	10	Grid1	C	L	90	1	685
9	11	Grid1	C	L	230	0	487
9	12	Grid1	C	L	120	1	702
9	13	Grid1	C	L	140	1	566
9	14	Grid1	C	L	160	1	420
9	15	Grid1	C	L	120	1	3873
9	16	Grid1	C	L	60	1	408
9	17	Grid1	C	L	170	0	1370
9	18	Grid1	C	L	230	0	453
9	19	Grid1	C	L	130	0	491
9	20	Grid1	C	L	170	0	462
9	21	Grid1	C	L	110	1	881
9	22	Grid1	C	L	150	1	1292
9	23	Grid1	C	L	160	0	621
9	24	Grid1	C	L	240	0	513
9	25	Grid1	C	L	110	1	1018
9	26	Grid1	C	L	180	0	609
9	27	Grid1	C	L	240	0	581
9	28	Grid1	C	L	100	1	915
9	29	Grid1	C	L	80	1	604
9	30	Grid1	C	L	150	0	734
9	31	Grid1	C	L	70	1	777
9	32	Grid1	C	L	210	0	490
9	33	Grid1	C	L	190	0	631
9	34	Grid1	C	L	60	1	449
9	35	Grid1	C	L	70	1	578
9	36	Grid1	C	L	220	0	464
9	37	Grid1	C	L	220	0	955
9	38	Grid1	C	L	200	0	317
12	1	Grid1	R	R	210	0	1946
12	2	Grid1	R	R	120	0	1196
12	3	Grid1	R	R	130	0	727
12	4	Grid1	R	R	70	0	1988
12	5	Grid1	R	R	210	1	711
12	6	Grid1	R	R	100	0	1200
12	7	Grid1	R	R	200	0	1358
12	8	Grid1	R	R	100	0	656
12	9	Grid1	R	R	230	1	709
12	10	Grid1	R	R	160	0	1447
12	11	Grid1	R	R	240	1	634
12	12	Grid1	R	R	80	0	477
12	13	Grid1	R	R	160	0	1177
12	14	Grid1	R	R	180	0	575
12	15	Grid1	R	R	140	0	985
12	16	Grid1	R	R	170	1	628
12	17	Grid1	R	R	240	1	659
12	18	Grid1	R	R	150	0	915
12	19	Grid1	R	R	90	0	665
12	20	Grid1	R	R	80	0	557
12	21	Grid1	R	R	110	0	547
12	22	Grid1	R	R	120	0	463
12	23	Grid1	R	R	190	1	567
12	24	Grid1	R	R	150	0	601
12	25	Grid1	R	R	220	1	555
12	26	Grid1	R	R	60	0	500
12	27	Grid1	R	R	60	0	837
12	28	Grid1	R	R	180	0	888
12	29	Grid1	R	R	190	0	591
12	30	Grid1	R	R	200	0	523
12	31	Grid1	R	R	140	0	539
12	32	Grid1	R	R	70	0	625
12	33	Grid1	R	R	90	0	616
12	34	Grid1	R	R	230	1	581
12	35	Grid1	R	R	130	0	982
12	36	Grid1	R	R	170	1	676
12	37	Grid1	R	R	110	0	512
12	38	Grid1	R	R	220	1	597
13	1	Grid1	C	L	160	0	903
13	2	Grid1	C	L	70	1	678
13	3	Grid1	C	L	80	1	772
13	4	Grid1	C	L	110	1	569
13	5	Grid1	C	L	170	0	536
13	6	Grid1	C	L	120	1	2347
13	7	Grid1	C	L	120	1	567
13	8	Grid1	C	L	130	0	1956
13	9	Grid1	C	L	210	0	1022
13	10	Grid1	C	L	90	1	634
13	11	Grid1	C	L	60	1	920
13	12	Grid1	C	L	170	0	572
13	13	Grid1	C	L	220	0	1576
13	14	Grid1	C	L	200	0	1565
13	15	Grid1	C	L	210	0	913
13	16	Grid1	C	L	180	0	1060
13	17	Grid1	C	L	200	0	807
13	18	Grid1	C	L	100	1	609
13	19	Grid1	C	L	130	1	804
13	20	Grid1	C	L	230	0	782
13	21	Grid1	C	L	230	0	541
13	22	Grid1	C	L	140	0	1379
13	23	Grid1	C	L	80	1	810
13	24	Grid1	C	L	160	0	685
13	25	Grid1	C	L	220	0	665
13	26	Grid1	C	L	70	1	686
13	27	Grid1	C	L	100	1	923
13	28	Grid1	C	L	150	0	818
13	29	Grid1	C	L	240	0	762
13	30	Grid1	C	L	180	0	521
13	31	Grid1	C	L	110	1	690
13	32	Grid1	C	L	90	1	515
13	33	Grid1	C	L	190	0	609
13	34	Grid1	C	L	150	0	556
13	35	Grid1	C	L	140	0	861
13	36	Grid1	C	L	60	1	1070
13	37	Grid1	C	L	190	0	518
13	38	Grid1	C	L	240	0	866
14	1	Grid1	C	R	120	1	1193
14	2	Grid1	C	R	120	1	805
14	3	Grid1	C	R	230	0	870
14	4	Grid1	C	R	200	0	4818
14	5	Grid1	C	R	150	1	906
14	6	Grid1	C	R	130	1	649
14	7	Grid1	C	R	160	1	639
14	8	Grid1	C	R	60	1	1725
14	9	Grid1	C	R	180	1	1383
14	10	Grid1	C	R	100	1	929
14	11	Grid1	C	R	220	0	949
14	12	Grid1	C	R	210	0	987
14	13	Grid1	C	R	110	1	867
14	14	Grid1	C	R	70	1	644
14	15	Grid1	C	R	190	0	607
14	16	Grid1	C	R	80	1	666
14	17	Grid1	C	R	230	0	563
14	18	Grid1	C	R	200	0	674
14	19	Grid1	C	R	150	1	1747
14	20	Grid1	C	R	140	1	1250
14	21	Grid1	C	R	170	1	2005
14	22	Grid1	C	R	100	1	942
14	23	Grid1	C	R	170	1	987
14	24	Grid1	C	R	130	1	495
14	25	Grid1	C	R	190	1	6194
14	26	Grid1	C	R	90	1	580
14	27	Grid1	C	R	140	1	510
14	28	Grid1	C	R	160	1	386
14	29	Grid1	C	R	220	0	674
14	30	Grid1	C	R	80	1	542
14	31	Grid1	C	R	60	1	489
14	32	Grid1	C	R	240	0	566
14	33	Grid1	C	R	210	0	1408
14	34	Grid1	C	R	90	1	541
14	35	Grid1	C	R	240	0	632
14	36	Grid1	C	R	70	1	733
14	37	Grid1	C	R	180	1	1031
14	38	Grid1	C	R	110	1	550
15	1	Grid1	R	L	90	0	3826
15	2	Grid1	R	L	160	1	1005
15	3	Grid1	R	L	80	0	874
15	4	Grid1	R	L	240	1	1842
