age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..GBP.,Political.Party.Affiliation.UK,Sex,ideo,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1,covid_consp_1,covid_consp_2,covid_consp_3,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b
26,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Liberal Democrats,Female,4,5,5,2,2,5,5,5,1,1,1,3,1,1,2,1,2,1
49,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Green Party,Male,5,4,4,2,2,4,4,2,1,1,1,2,2,1,2,2,1,1
38,White,High school diploma/A-levels,"£50,000 - £59,999",Labour,Female,6,2,2,3,4,3,3,1,3,2,1,1,1,1,1,1,1,1
30,White,Technical/community college,"£20,000 - £29,999",Labour,Male,5,3,3,2,2,4,4,1,1,1,1,2,2,1,1,1,1,1
54,White,High school diploma/A-levels,"£20,000 - £29,999",Conservative,Female,7,4,4,1,2,4,4,1,2,1,1,4,1,1,3,2,1,2
30,White,Undergraduate degree (BA/BSc/other),"£10,000 - £15,999",Not applicable / rather not say,Female,7,4,4,2,2,4,4,1,4,4,4,1,1,1,1,1,1,1
51,White,Secondary education (e.g. GED/GCSE),"£16,000 - £19,999",Other,Female,7,1,3,5,1,3,2,1,4,4,4,1,1,1,1,1,1,1
40,White,Technical/community college,"£30,000 - £39,999",Labour,Female,4,4,4,2,2,1,3,1,4,2,1,1,1,1,1,1,1,1
23,White,Undergraduate degree (BA/BSc/other),,Green Party,Male,2,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
59,White,Undergraduate degree (BA/BSc/other),,Labour,Male,2,4,3,2,1,4,4,1,1,1,1,2,1,1,1,1,3,1
45,White,Graduate degree (MA/MSc/MPhil/other),"£60,000 - £69,999",Scottish National Party (SNP),Male,4,4,3,1,2,4,4,1,1,1,1,3,3,1,3,3,2,1
33,White,High school diploma/A-levels,,Not applicable / rather not say,Male,6,1,1,4,5,3,1,2,2,1,1,1,1,1,1,1,1,1
68,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Liberal Democrats,Female,5,3,2,2,2,4,3,2,2,2,2,1,4,1,1,1,1,1
38,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Female,8,4,4,1,2,4,4,2,2,1,1,3,2,1,1,2,1,1
49,White,Undergraduate degree (BA/BSc/other),,UKIP,Male,7,3,3,3,3,4,3,3,2,2,2,1,1,1,1,1,1,1
65,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Conservative,Female,9,2,2,3,4,3,1,1,1,1,1,3,1,1,2,2,1,2
35,White,High school diploma/A-levels,"£16,000 - £19,999",Labour,Male,4,2,2,4,4,2,2,2,5,5,2,2,2,1,1,2,1,1
37,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Conservative,Female,9,2,3,4,4,4,3,2,1,1,1,1,2,1,1,1,1,1
38,Asian,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Female,9,2,2,4,2,4,4,1,1,1,2,1,1,1,1,1,1,1
56,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Conservative,Female,5,4,4,3,2,2,4,1,2,1,1,1,1,1,1,1,1,1
56,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Conservative,Female,7,4,4,2,4,2,2,1,2,1,1,1,1,1,1,1,1,1
38,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Liberal Democrats,Female,6,2,3,4,4,4,3,4,3,4,3,2,1,1,1,1,1,2
28,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Conservative,Female,8,5,5,1,1,5,5,2,5,5,2,1,1,1,1,1,1,1
25,Mixed,Graduate degree (MA/MSc/MPhil/other),"£10,000 - £15,999",Labour,Male,4,2,4,3,4,4,4,1,1,2,2,2,2,1,2,3,2,2
22,White,Secondary education (e.g. GED/GCSE),,Labour,Female,2,4,4,2,1,4,4,2,1,1,1,3,2,1,1,1,1,2
24,White,Graduate degree (MA/MSc/MPhil/other),,Not applicable / rather not say,Female,6,2,2,4,4,2,3,4,1,1,1,1,1,1,1,1,1,1
32,White,Undergraduate degree (BA/BSc/other),"£70,000 - £79,999",Green Party,Female,6,2,3,4,4,2,2,4,7,6,2,1,1,1,1,1,1,3
31,Asian,Graduate degree (MA/MSc/MPhil/other),"£90,000 - £99,999",Labour,Male,5,5,5,1,1,5,5,1,1,1,1,3,1,1,2,3,1,1
30,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Male,4,2,3,2,3,4,2,1,1,1,1,1,1,1,2,2,1,1
60,White,Secondary education (e.g. GED/GCSE),"£50,000 - £59,999",Conservative,Female,8,4,4,1,2,4,4,2,2,3,1,1,1,1,3,1,1,1
42,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Labour,Female,4,4,4,2,2,4,4,1,2,1,2,2,1,1,1,1,1,1
28,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,6,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1
55,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Liberal Democrats,Female,6,2,1,4,4,2,2,2,3,3,2,2,1,1,2,1,3,1
31,White,Secondary education (e.g. GED/GCSE),"£50,000 - £59,999",Not applicable / rather not say,Male,8,2,2,2,4,4,1,4,6,5,1,1,1,1,4,4,1,1
53,White,Undergraduate degree (BA/BSc/other),"£70,000 - £79,999",Other,Female,8,2,2,4,4,2,1,1,1,1,1,2,1,1,1,1,1,1
54,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Conservative,Female,9,3,3,2,2,3,3,2,1,1,1,3,1,1,2,1,1,1
59,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Female,2,4,2,4,5,2,2,1,1,1,1,2,1,1,1,1,1,1
37,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,7,2,2,4,4,3,2,2,3,2,1,3,1,1,3,3,1,1
64,White,Undergraduate degree (BA/BSc/other),"£80,000 - £89,999",Conservative,Female,9,2,3,2,1,4,4,5,4,5,3,4,3,1,2,1,1,1
64,White,High school diploma/A-levels,"£20,000 - £29,999",Other,Male,5,4,4,2,2,4,3,3,2,3,2,3,1,1,2,1,1,1
62,White,Technical/community college,Rather not say,Conservative,Female,7,4,4,1,1,4,4,1,1,1,1,2,1,1,1,1,1,2
31,White,High school diploma/A-levels,,Not applicable / rather not say,Female,6,1,1,4,4,2,2,2,6,6,2,3,3,3,3,3,3,2
29,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Liberal Democrats,Male,6,2,4,1,2,4,4,5,1,1,1,2,2,1,1,1,1,1
33,Asian,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Conservative,Female,8,1,1,5,5,1,1,4,1,1,1,1,1,1,1,1,1,1
51,White,Doctorate degree (PhD/other),"More than £150,000",Liberal Democrats,Female,2,5,4,1,1,5,4,1,1,1,1,3,3,1,3,2,2,1
36,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Male,5,4,4,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1
36,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Not applicable / rather not say,Male,6,4,4,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1
60,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Not applicable / rather not say,Female,8,2,2,3,3,2,4,1,2,1,1,2,1,1,1,1,1,1
57,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Other,Male,6,4,5,1,2,5,5,7,1,1,1,1,1,1,1,1,1,1
31,White,Secondary education (e.g. GED/GCSE),"£16,000 - £19,999",Labour,Female,6,4,5,1,2,5,4,1,4,4,4,1,1,1,1,1,1,1
52,White,Undergraduate degree (BA/BSc/other),"£10,000 - £15,999",Labour,Female,2,4,5,1,1,4,5,1,4,5,5,4,3,1,4,4,1,1
30,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Liberal Democrats,Female,5,1,1,2,4,3,1,1,3,1,1,1,1,1,1,1,1,1
54,White,High school diploma/A-levels,"£40,000 - £49,999",Conservative,Female,7,4,4,2,3,4,4,1,2,1,1,1,1,1,3,2,1,2
38,White,High school diploma/A-levels,,Liberal Democrats,Male,6,3,4,4,3,4,4,1,5,7,2,1,2,1,1,1,1,3
38,White,High school diploma/A-levels,,Not applicable / rather not say,Male,5,2,4,3,3,4,4,2,1,1,1,1,1,1,1,2,1,1
58,White,Undergraduate degree (BA/BSc/other),,Not applicable / rather not say,Female,6,4,3,1,2,4,4,1,6,6,6,3,2,1,1,1,1,2
25,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Not applicable / rather not say,Female,8,4,4,2,3,4,2,2,2,1,1,2,2,1,3,2,1,1
45,White,Undergraduate degree (BA/BSc/other),"£100,000 - £149,999",Liberal Democrats,Male,6,3,4,2,3,5,3,3,2,1,2,2,2,1,2,1,1,1
46,White,Undergraduate degree (BA/BSc/other),,Green Party,Male,6,4,4,1,2,4,4,2,1,1,1,1,1,1,1,1,1,1
52,White,High school diploma/A-levels,"£10,000 - £15,999",Not applicable / rather not say,Female,7,1,1,5,5,1,1,1,2,1,1,4,1,1,3,1,1,2
24,White,Undergraduate degree (BA/BSc/other),Rather not say,Labour,Female,2,1,2,4,5,3,2,4,1,1,1,2,1,1,1,1,1,2
23,Asian,High school diploma/A-levels,"£20,000 - £29,999",Not applicable / rather not say,Female,7,3,2,4,4,3,4,3,1,5,5,4,4,1,4,4,1,2
48,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Other,Female,5,2,2,2,4,2,2,2,2,1,2,3,2,1,2,1,1,1
45,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Male,6,3,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
51,White,Secondary education (e.g. GED/GCSE),"£30,000 - £39,999",Conservative,Female,8,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
32,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Female,4,4,4,2,2,4,4,2,1,1,1,3,3,1,1,1,1,3
48,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Male,7,4,3,4,4,3,4,2,1,1,1,4,2,1,3,4,1,1
54,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,8,3,4,2,3,4,3,2,4,2,2,3,2,1,2,1,1,2
47,White,High school diploma/A-levels,"£40,000 - £49,999",Liberal Democrats,Male,5,2,1,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1
63,Mixed,Technical/community college,"£60,000 - £69,999",Conservative,Male,11,3,3,2,2,4,4,3,1,1,1,1,1,1,1,1,1,1
44,White,Doctorate degree (PhD/other),,Liberal Democrats,Female,4,2,4,1,1,4,5,1,1,1,1,2,2,1,1,1,1,1
50,White,High school diploma/A-levels,"£10,000 - £15,999",Conservative,Female,7,3,4,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1
34,Black,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Conservative,Male,6,3,4,2,2,4,4,2,2,2,2,3,2,1,3,2,3,2
58,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Conservative,Male,8,4,5,2,2,3,4,2,2,1,1,4,1,1,4,2,1,1
39,White,Doctorate degree (PhD/other),"£60,000 - £69,999",Labour,Female,1,4,4,1,1,4,4,1,2,2,2,2,1,1,2,1,1,1
51,White,High school diploma/A-levels,,Conservative,Female,8,3,3,2,2,4,3,1,1,1,1,3,3,1,3,2,1,1
55,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Green Party,Female,5,5,5,1,2,5,5,2,4,3,2,4,3,1,3,2,1,1
57,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Conservative,Male,6,2,2,2,2,3,2,1,2,2,1,3,3,1,1,3,4,2
52,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Male,5,2,3,2,3,3,3,1,7,7,3,3,1,1,1,1,2,2
28,Mixed,Undergraduate degree (BA/BSc/other),,Green Party,Female,4,3,4,2,3,4,5,1,2,1,1,1,1,1,1,1,1,1
46,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Labour,Female,4,4,4,2,2,4,4,2,3,2,2,2,2,1,3,3,2,2
35,Mixed,Doctorate degree (PhD/other),Rather not say,,Female,2,4,4,1,2,5,4,1,1,1,1,1,1,1,1,1,1,3
63,White,Undergraduate degree (BA/BSc/other),"£70,000 - £79,999",Conservative,Male,8,4,5,1,2,5,5,2,1,1,1,3,3,1,4,3,1,2
34,White,High school diploma/A-levels,"£30,000 - £39,999",UKIP,Male,8,4,4,2,3,3,3,1,5,5,2,2,1,1,1,1,1,1
65,White,Undergraduate degree (BA/BSc/other),Rather not say,Liberal Democrats,Female,8,5,4,1,1,5,5,1,4,2,2,1,1,1,1,1,3,2
40,White,Doctorate degree (PhD/other),"£40,000 - £49,999",Liberal Democrats,Male,4,4,4,1,2,4,5,2,1,1,1,3,1,1,1,2,1,1
21,White,High school diploma/A-levels,"Less than £10,000 ",Labour,Female,2,4,4,1,2,5,4,2,1,2,1,2,2,1,3,3,1,1
47,Black,Technical/community college,Rather not say,Not applicable / rather not say,Female,4,2,2,4,4,4,2,2,4,3,2,2,1,1,2,3,1,2
40,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Liberal Democrats,Male,5,4,4,1,1,5,4,2,1,1,1,1,1,1,1,1,1,1
61,White,Doctorate degree (PhD/other),,Labour,Male,1,5,5,1,2,4,5,1,1,1,1,3,2,1,1,2,1,1
56,White,High school diploma/A-levels,"£16,000 - £19,999",Conservative,Female,11,3,2,3,3,3,3,1,2,2,1,2,1,1,1,1,1,1
34,Mixed,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Male,7,4,4,2,2,4,4,2,1,1,1,3,1,1,2,1,1,1
38,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,2,3,3,2,3,3,4,2,1,1,1,1,1,1,2,3,3,1
26,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Not applicable / rather not say,Female,5,2,4,1,3,4,2,3,2,1,1,4,2,1,1,1,4,2
51,White,High school diploma/A-levels,,Labour,Male,4,3,3,3,2,3,3,1,4,2,1,1,1,1,1,1,1,1
53,White,Graduate degree (MA/MSc/MPhil/other),"£100,000 - £149,999",Liberal Democrats,Male,4,4,4,1,1,5,5,2,3,5,1,3,2,1,3,2,3,1
35,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Male,4,4,3,3,4,4,3,3,1,2,1,3,3,1,1,2,2,1
51,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Conservative,Male,8,5,5,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1
63,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,4,5,4,2,2,5,4,1,2,1,1,1,1,1,1,1,1,1
32,Mixed,Technical/community college,"£30,000 - £39,999",Not applicable / rather not say,Male,6,3,3,3,4,4,3,1,4,4,4,3,2,1,4,3,1,2
44,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",Labour,Female,4,4,3,1,2,4,4,2,1,1,1,2,2,1,1,2,1,1
74,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Labour,Male,2,4,4,1,1,5,5,1,1,1,1,3,1,1,2,2,2,2
47,White,Undergraduate degree (BA/BSc/other),Rather not say,,Female,4,3,2,2,3,4,4,1,4,4,4,1,1,1,1,1,1,1
58,White,High school diploma/A-levels,,Conservative,Female,9,4,4,4,4,4,4,6,5,5,5,3,3,4,4,4,4,2
36,White,Undergraduate degree (BA/BSc/other),Rather not say,Not applicable / rather not say,Female,5,3,2,2,4,4,3,3,1,1,1,1,1,1,1,1,1,1
57,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Conservative,Female,11,5,4,1,2,4,4,3,4,1,1,5,5,1,3,5,3,1
48,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,White,High school diploma/A-levels,"£30,000 - £39,999",Conservative,Female,7,3,2,2,2,4,2,1,1,1,1,3,2,1,2,3,1,1
49,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",UKIP,Male,10,2,4,1,4,5,4,6,7,6,1,4,3,3,3,3,4,1
26,White,High school diploma/A-levels,Rather not say,Labour,Female,7,3,3,4,4,3,4,3,2,3,3,3,2,1,3,2,2,2
60,White,Technical/community college,Rather not say,Other,Male,7,4,2,2,3,3,2,2,2,3,3,3,1,1,2,2,1,1
22,White,High school diploma/A-levels,,Conservative,Male,8,4,4,2,2,3,3,2,3,3,2,3,1,1,2,3,2,1
25,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Male,7,4,2,2,2,4,4,2,4,2,1,3,3,1,4,3,2,1
26,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Green Party,Female,2,2,5,2,2,4,4,4,6,2,2,4,3,1,4,4,4,1
29,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Female,6,3,4,1,1,4,4,2,1,1,1,2,2,1,1,1,1,1
31,White,High school diploma/A-levels,"£20,000 - £29,999",Labour,Female,4,4,5,1,2,4,4,2,2,1,1,4,1,1,1,4,1,3
24,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Male,5,5,4,2,2,4,4,3,1,1,1,3,1,1,2,3,1,2
44,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Male,8,3,3,1,2,5,3,2,2,2,2,1,1,1,1,1,1,1
55,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Female,4,3,5,2,3,4,3,1,3,3,3,3,1,1,3,3,1,1
21,White,High school diploma/A-levels,"£90,000 - £99,999",Green Party,Female,4,4,4,1,4,4,4,2,3,3,4,1,1,1,1,3,1,1
53,White,Undergraduate degree (BA/BSc/other),,Not applicable / rather not say,Female,7,3,4,2,2,3,3,3,1,1,1,2,1,1,2,1,1,1
49,White,High school diploma/A-levels,"£60,000 - £69,999",Scottish National Party (SNP),Male,4,4,4,1,1,4,4,5,6,6,1,1,1,1,2,1,1,1
44,White,High school diploma/A-levels,"£30,000 - £39,999",Liberal Democrats,Male,4,2,2,4,3,4,3,1,2,2,2,4,2,1,3,4,2,2
