ID,Block,Trial,BlockType,Condition_Director,CorrectAnswer,IncorrectAnswer,Position,ACC,Stimulus.RT,TrialType,Testlist,Item
2,2,2,2,1,D,?,2,1,2253,0,1,1
2,2,3,2,1,M,P,2,1,4301,2,1,2
2,2,4,2,1,J,?,2,1,3237,0,1,3
2,3,2,1,1,D,?,1,0,2421,1,2,4
2,3,3,1,1,J,?,1,1,2525,0,2,5
2,3,4,1,1,O,?,1,1,2125,0,2,6
2,4,2,1,1,E,?,1,0,0,1,3,7
2,4,3,1,1,M,?,1,0,1517,0,3,8
2,4,4,1,1,P,?,1,1,2205,0,3,9
2,5,2,2,1,C,?,3,1,2469,0,4,10
2,5,3,2,1,H,?,3,1,2076,0,4,11
2,5,4,2,1,K,N,3,0,2437,2,4,12
2,6,2,1,1,H,?,2,1,2829,0,5,13
2,6,3,1,1,K,?,2,1,3596,1,5,14
2,6,4,1,1,P,?,2,1,2276,0,5,15
2,7,2,2,1,N,?,3,1,2521,0,6,16
2,7,3,2,1,P,?,3,1,2705,0,6,17
2,7,4,2,1,F,B,3,1,2425,2,6,18
2,8,2,1,1,M,?,3,1,4873,0,7,19
2,8,3,1,1,A,?,3,1,2657,0,7,20
2,8,4,1,1,J,?,3,1,2833,1,7,21
2,9,2,2,1,M,?,2,0,0,0,8,22
2,9,3,2,1,I,O,2,1,4241,2,8,23
2,9,4,2,1,G,?,2,1,2033,0,8,24
2,10,2,2,1,C,?,3,1,2033,0,9,25
2,10,3,2,1,P,?,3,1,2097,0,9,26
2,10,4,2,1,J,D,3,1,2329,2,9,27
2,11,2,1,1,J,?,2,1,2065,0,10,28
2,11,3,1,1,M,?,2,1,2873,1,10,29
2,11,4,1,1,H,?,2,1,2265,0,10,30
2,12,2,2,1,E,J,1,1,2113,2,11,31
2,12,3,2,1,L,?,1,1,2089,0,11,32
2,12,4,2,1,M,?,1,1,2001,0,11,33
2,13,2,1,1,L,?,3,1,1977,0,12,34
2,13,3,1,1,D,?,3,1,1897,0,12,35
2,13,4,1,1,F,?,3,1,2617,1,12,36
2,14,2,2,1,D,E,1,1,3080,2,13,37
2,14,3,2,1,F,?,1,1,2040,0,13,38
2,14,4,2,1,J,?,1,1,2056,0,13,39
