scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,round1,condition,skill1,conf1,trust1,eff1,skill2,conf2,trust2,eff2,compPerf1,perfChange1,mom1,skill3,conf3,trust3,eff3,compPerf2,perfChange2,preCompMom,preCompSkill,preCompConf,preCompTrust,preCompEff,preCompCompPerf,likelyWin,whoExpWin,timeComp,postCompPerf,compEffort,postCompMom,postCompSkill,postCompConf,postCompTrust,postCompEff,familiarTask,education,age,gender,overallTraj
4,4,12,7,15,Easy,negMom,1,1,3,1.666666667,3,2,2,2.333333333,2,3,50,2,2,3,2.333333333,2,3,50,1,2,2,1.666666667,2,1,2,116.912,4,6,50,2,1,3,2,2,2,34,1,2
10,11,20,14,34,Hard,posMom,7,7,7,7,4,4,5,4.333333333,4,4,51,4,4,4,4,4,5,61,6,6,6,6,6,4,2,195.898,6,8,65,6,6,6,6,4,3,44,2,1
8,9,16,11,13,Easy,negMom,7,7,7,7,7,8,7,7.333333333,7,3,61,6,6,6,6,7,5,58,6,6,6,6,6,5,1,218.442,8,9,85,8,8,8,8,2,3,28,1,3
10,13,10,11,30,Hard,posMom,5,6,6,5.666666667,5,4,4,4.333333333,5,5,50,4,5,5,4.666666667,4,3,20,3,2,3,2.666666667,4,4,2,151.594,7,8,50,7,7,7,7,3,3,26,1,3
6,5,5,5,7,Hard,posMom,3,3,3,3,4,4,4,4,4,3,31,3,3,3,3,3,4,51,4,4,4,4,4,5,2,176.245,4,10,34,4,4,4,4,2,3,31,1,3
13,14,24,17,52,Hard,posMom,8,9,9,8.666666667,7,8,8,7.666666667,8,5,80,8,8,9,8.333333333,9,6,90,9,10,10,9.666666667,10,9,1,350.554,10,10,100,10,10,10,10,2,3,27,2,1
11,10,11,11,20,Easy,negMom,4,3,5,4,3,2,3,2.666666667,2,3,50,2,2,3,2.333333333,2,4,50,2,2,3,2.333333333,2,3,2,189.782,5,8,65,4,3,5,4,3,4,25,2,3
9,7,5,7,24,Easy,negMom,5,6,6,5.666666667,3,3,3,3,4,5,50,4,4,5,4.333333333,4,6,68,5,5,5,5,5,5,1,290.267,7,10,87,7,8,8,7.666666667,2,3,24,1,1
10,10,18,13,14,Hard,posMom,1,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,4,0,1,1,1,1,1,1,2,97.308,1,10,0,1,1,1,1,1,3,27,1,1
0,9,7,5,1,Easy,negMom,8,8,8,8,9,9,9,9,9,4,50,6,6,6,6,6,2,29,3,3,3,3,3,2,2,57.066,1,1,51,5,5,5,5,4,3,23,1,2
7,5,8,7,15,Easy,negMom,6,6,6,6,6,6,7,6.333333333,6,3,31,4,4,4,4,5,5,50,5,5,5,5,5,3,2,233.321,7,10,78,7,7,7,7,2,2,62,1,3
11,15,18,15,31,Hard,posMom,5,5,6,5.333333333,5,5,6,5.333333333,5,5,45,6,5,6,5.666666667,5,5,47,5,6,5,5.333333333,5,1,2,277.377,4,8,44,5,4,5,4.666666667,2,2,50,2,1
6,12,12,10,30,Easy,negMom,8,8,8,8,7,8,8,7.666666667,7,4,69,7,8,8,7.666666667,7,2,50,5,6,6,5.666666667,5,6,1,328.871,7,9,60,7,7,8,7.333333333,2,3,59,2,2
10,11,16,12,20,Easy,negMom,10,10,10,10,10,10,10,10,10,2,11,4,3,2,3,1,1,0,1,1,1,1,1,1,2,178.79,1,10,0,1,1,1,1,3,3,24,2,2
4,11,9,8,16,Hard,posMom,3,3,3,3,1,1,1,1,1,5,25,2,2,2,2,2,3,13,2,2,2,2,2,5,1,263.446,2,4,24,1,1,2,1.333333333,2,3,45,1,3
10,10,5,8,25,Easy,negMom,5,2,5,4,5,8,5,6,5,4,74,8,8,8,8,6,4,73,8,8,8,8,9,5,1,139.092,8,9,79,8,8,8,8,1,2,24,1,2
13,18,25,19,52,Hard,posMom,7,7,8,7.333333333,4,5,5,4.666666667,4,5,50,6,6,7,6.333333333,5,6,56,8,8,8,8,5,5,1,315.936,8,10,51,8,8,9,8.333333333,3,2,48,2,1
1,9,10,7,30,Easy,negMom,5,6,6,5.666666667,7,8,8,7.666666667,5,3,50,6,7,8,7,5,2,29,2,5,5,4,5,4,2,505.518,9,10,89,9,10,10,9.666666667,2,2,25,1,3
2,6,11,6,17,Easy,negMom,4,5,5,4.666666667,5,5,6,5.333333333,5,2,15,3,3,4,3.333333333,4,1,0,2,1,2,1.666666667,3,3,2,174.906,5,7,28,4,4,5,4.333333333,2,3,36,1,2
2,1,2,2,1,Hard,posMom,8,8,7,7.666666667,6,6,7,6.333333333,7,5,58,7,7,8,7.333333333,8,5,61,7,6,7,6.666666667,7,7,2,113.126,2,2,10,2,3,3,2.666666667,2,3,31,2,2
9,13,12,11,29,Hard,posMom,7,8,8,7.666666667,5,6,7,6,5,5,60,7,7,8,7.333333333,7,4,54,7,9,8,8,7,5,1,145.181,8,9,72,8,9,8,8.333333333,3,3,29,1,3
15,18,21,18,46,Easy,negMom,6,6,6,6,6,6,6,6,6,4,50,6,6,6,6,6,4,50,6,6,6,6,6,5,2,221.934,8,10,78,8,8,8,8,3,4,43,2,2
7,14,14,12,32,Hard,posMom,4,4,4,4,3,3,3,3,4,4,33,4,4,4,4,4,5,35,5,5,5,5,5,5,1,165.609,5,5,44,5,5,5,5,2,4,27,1,1
3,3,5,4,3,Hard,posMom,2,2,2,2,1,1,2,1.333333333,2,4,8,1,1,1,1,1,5,39,2,2,2,2,3,1,2,72.626,4,3,7,2,2,2,2,1,3,33,1,1
14,17,12,14,18,Easy,negMom,9,8,8,8.333333333,6,7,6,6.333333333,5,5,63,7,8,7,7.333333333,7,3,43,6,5,5,5.333333333,6,8,1,93.533,9,8,75,8,9,9,8.666666667,3,3,35,1,1
14,16,23,18,31,Hard,posMom,8,8,8,8,3,3,2,2.666666667,2,5,50,4,4,2,3.333333333,2,5,51,5,5,5,5,3,2,2,132.605,6,10,57,6,5,5,5.333333333,5,3,62,2,1
1,5,2,3,19,Easy,negMom,1,1,1,1,1,1,1,1,1,4,12,1,1,1,1,1,1,9,1,1,1,1,1,1,2,273.398,7,7,50,6,6,6,6,1,2,23,1,3
12,15,18,15,35,Hard,posMom,6,7,7,6.666666667,5,6,7,6,7,5,68,7,8,8,7.666666667,7,6,66,8,8,8,8,8,6,1,354.937,8,10,77,8,8,9,8.333333333,2,2,50,2,1
14,8,8,10,52,Easy,negMom,5,5,5,5,3,3,3,3,3,4,8,3,3,3,3,3,5,44,5,5,5,5,4,4,2,824.835,8,8,76,8,9,9,8.666666667,2,3,55,2,1
18,13,20,17,51,Hard,posMom,8,7,7,7.333333333,8,8,9,8.333333333,8,3,64,7,7,7,7,8,5,80,8,8,8,8,8,9,1,315.325,9,9,96,8,8,8,8,3,4,42,2,1
10,11,13,11,33,Easy,negMom,8,8,8,8,8,8,8,8,8,4,97,8,8,8,8,8,3,98,8,8,8,8,8,8,1,410.325,8,10,100,8,8,8,8,2,3,35,2,2
15,13,16,15,41,Easy,negMom,8,9,9,8.666666667,8,9,9,8.666666667,9,3,50,7,7,7,7,7,5,72,7,7,7,7,6,5,1,268.962,10,10,100,10,10,10,10,2,3,27,2,3
11,7,12,10,16,Hard,posMom,6,7,7,6.666666667,6,7,7,6.666666667,7,2,17,4,6,5,5,6,4,20,7,7,7,7,5,5,1,150.876,7,8,9,6,6,6,6,2,3,62,1,3
10,19,22,17,28,Easy,negMom,8,8,7,7.666666667,6,6,6,6,7,3,33,5,5,5,5,6,1,10,3,3,3,3,,5,1,163.219,7,9,50,6,5,6,5.666666667,4,3,22,2,2
15,15,21,17,52,Hard,posMom,7,8,8,7.666666667,8,10,8,8.666666667,8,4,79,8,9,10,9,8,5,85,8,9,10,9,8,7,1,369.206,10,10,97,9,10,10,9.666666667,2,3,25,1,1
9,22,31,21,52,Hard,posMom,8,10,10,9.333333333,3,4,7,4.666666667,5,5,59,6,8,10,8,5,5,75,7,10,10,9,5,7,1,314.218,10,6,85,10,10,10,10,2,5,30,2,1
16,10,9,12,52,Easy,negMom,5,3,5,4.333333333,3,3,3,3,3,4,50,3,3,3,3,3,5,51,4,4,4,4,4,5,2,748.6,10,10,100,10,10,10,10,3,3,40,2,1
20,19,12,17,45,Easy,negMom,6,6,6,6,6,6,6,6,6,5,56,6,7,7,6.666666667,6,5,58,6,7,7,6.666666667,6,5,2,331.092,6,8,70,7,7,7,7,1,3,31,2,1
6,8,20,11,52,Easy,negMom,5,5,6,5.333333333,7,7,10,8,8,2,50,5,4,5,4.666666667,4,2,37,4,3,3,3.333333333,3,4,2,657.141,10,10,100,10,10,10,10,2,3,33,2,2
7,7,11,8,34,Hard,posMom,4,5,5,4.666666667,4,5,5,4.666666667,4,4,25,4,5,5,4.666666667,4,5,39,4,5,5,4.666666667,5,3,2,522.639,5,6,56,5,5,5,5,2,5,62,1,1
7,6,8,7,15,Easy,negMom,6,6,6,6,6,6,6,6,5,4,25,6,6,6,6,5,4,26,6,6,6,6,5,5,1,258.808,6,9,27,6,6,6,6,2,3,34,1,3
8,10,11,10,11,Hard,posMom,10,10,10,10,6,7,9,7.333333333,8,7,96,10,9,10,9.666666667,10,7,93,10,10,10,10,10,10,1,141.187,10,10,96,10,10,10,10,3,2,34,1,1
6,4,14,8,25,Hard,posMom,5,7,6,6,4,5,4,4.333333333,5,3,26,3,3,3,3,3,5,50,7,7,7,7,5,5,1,483.22,7,8,62,7,7,7,7,2,2,26,1,3
6,13,15,11,17,Hard,posMom,3,3,3,3,1,1,1,1,1,6,21,7,7,7,7,3,6,51,7,7,7,7,3,2,2,148.699,6,4,27,6,6,7,6.333333333,2,4,34,2,1
12,8,15,12,51,Easy,negMom,6,7,7,6.666666667,5,6,6,5.666666667,5,3,55,5,5,5,5,5,4,64,6,6,6,6,5,5,1,503.711,7,8,79,8,9,9,8.666666667,2,2,29,2,2
9,8,4,7,52,Easy,negMom,8,8,8,8,7,8,7,7.333333333,7,6,86,8,8,9,8.333333333,9,5,66,7,7,7,7,7,9,1,969.246,10,10,95,10,10,10,10,2,3,47,2,1
10,18,17,15,30,Easy,negMom,5,5,5,5,5,5,5,5,5,5,45,5,5,6,5.333333333,6,2,34,3,3,3,3,3,4,2,165.458,3,2,21,2,2,3,2.333333333,2,3,25,2,2
11,8,11,10,30,Easy,negMom,6,7,9,7.333333333,8,9,9,8.666666667,5,2,20,5,4,4,4.333333333,4,4,50,8,9,9,8.666666667,5,4,1,364.976,9,9,63,9,10,10,9.666666667,2,2,37,2,3
7,2,6,5,6,Easy,negMom,6,4,7,5.666666667,7,4,6,5.666666667,6,3,32,5,6,7,6,6,4,35,6,6,6,6,6,7,2,48.537,5,6,57,7,4,6,5.666666667,3,3,27,1,3
8,7,10,8,21,Easy,negMom,4,4,4,4,3,3,3,3,3,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2,234.149,2,9,22,3,3,3,3,2,3,24,2,2
8,12,11,10,52,Hard,posMom,3,4,4,3.666666667,3,4,3,3.333333333,2,5,54,6,7,6,6.333333333,5,3,31,5,5,6,5.333333333,3,4,2,519.18,10,10,100,9,10,10,9.666666667,3,2,37,2,1
8,10,15,11,18,Hard,posMom,5,5,5,5,2,2,2,2,2,5,50,3,3,3,3,3,5,61,4,4,4,4,4,5,2,179.714,6,6,64,5,5,5,5,2,3,26,1,1
10,5,7,7,44,Easy,negMom,5,5,6,5.333333333,4,5,3,4,5,3,22,3,3,4,3.333333333,4,5,35,5,5,5,5,5,5,1,827.671,6,10,50,10,8,10,9.333333333,2,2,19,2,1
16,17,28,20,22,Hard,posMom,6,7,7,6.666666667,6,7,7,6.666666667,6,4,50,6,7,7,6.666666667,6,5,50,6,7,7,6.666666667,6,5,1,122.235,6,10,51,6,7,7,6.666666667,3,2,46,2,1
20,17,17,18,52,Easy,negMom,8,9,8,8.333333333,8,8,9,8.333333333,5,4,64,7,8,7,7.333333333,5,5,78,8,9,8,8.333333333,6,5,1,442.155,10,10,94,9,9,9,9,3,2,45,1,1
7,9,12,9,27,Hard,posMom,6,6,6,6,5,6,6,5.666666667,6,6,63,7,6,6,6.333333333,7,6,80,8,7,8,7.666666667,7,8,1,210.513,9,9,91,9,8,8,8.333333333,3,3,30,1,1
9,4,9,7,39,Easy,negMom,7,8,8,7.666666667,4,8,7,6.333333333,6,2,22,1,3,5,3,5,6,78,8,8,8,8,8,5,1,280.291,9,10,100,8,9,9,8.666666667,3,3,27,2,1
13,12,22,16,31,Easy,negMom,5,6,7,6,6,6,6,6,6,3,50,6,6,6,6,6,4,50,6,6,6,6,6,6,1,188.085,6,6,54,7,7,7,7,3,4,36,2,3
3,5,9,6,13,Hard,posMom,3,4,3,3.333333333,3,3,3,3,2,5,7,4,4,4,4,3,5,13,3,3,3,3,3,4,2,1150.195,5,6,21,3,3,3,3,2,3,34,2,1
6,8,12,9,10,Easy,negMom,6,5,5,5.333333333,7,8,7,7.333333333,7,5,41,5,4,4,4.333333333,4,4,34,4,3,4,3.666666667,4,3,2,104.915,5,4,49,6,6,6,6,1,2,21,1,3
6,4,10,7,14,Easy,negMom,7,6,8,7,5,7,6,6,6,3,21,3,4,2,3,3,4,34,5,4,6,5,6,5,1,103.914,7,7,63,6,5,7,6,2,3,23,1,3
2,8,10,7,7,Easy,negMom,7,6,6,6.333333333,6,6,5,5.666666667,5,3,58,6,6,6,6,6,1,28,4,4,4,4,4,3,2,170.671,2,7,33,4,4,4,4,2,3,24,2,2
8,10,11,10,8,Easy,negMom,3,2,2,2.333333333,2,3,6,3.666666667,3,3,26,1,1,2,1.333333333,2,1,2,1,1,1,1,1,5,1,102.607,1,9,3,1,1,1,1,2,2,22,1,2
8,13,18,13,33,Hard,posMom,6,5,7,6,5,4,4,4.333333333,4,5,52,7,5,7,6.333333333,7,6,76,9,7,9,8.333333333,8,6,1,202.605,10,10,100,10,10,10,10,3,3,28,2,1
9,10,7,9,18,Easy,negMom,3,1,3,2.333333333,2,2,2,2,2,5,51,4,4,4,4,4,4,36,3,3,3,3,3,3,2,169.187,3,9,51,3,3,3,3,1,4,27,2,2
3,7,13,8,31,Hard,posMom,1,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,4,0,1,1,1,1,1,1,2,321.14,1,1,0,1,1,1,1,3,2,24,1,2
6,17,17,13,39,Hard,posMom,3,3,2,2.666666667,1,1,1,1,2,5,50,4,4,4,4,4,5,50,4,4,4,4,3,4,1,222.467,5,7,54,5,5,5,5,2,3,29,1,1
12,4,14,10,12,Easy,negMom,7,6,6,6.333333333,6,6,6,6,6,3,41,6,6,6,6,6,4,45,6,6,6,6,6,7,1,86.493,7,7,65,7,7,7,7,2,4,34,1,1
12,11,13,12,21,Hard,posMom,8,8,8,8,4,5,4,4.333333333,4,3,32,5,4,4,4.333333333,3,5,57,5,4,4,4.333333333,4,4,2,154.574,6,7,61,7,7,7,7,2,3,25,2,1
3,8,12,8,30,Hard,posMom,6,6,6,6,1,1,1,1,1,5,50,3,3,3,3,3,6,70,7,7,7,7,7,3,2,288.726,7,7,66,6,6,7,6.333333333,2,3,44,2,1
28,30,37,32,52,Hard,posMom,6,6,6,6,5,5,5,5,5,4,50,5,5,5,5,5,5,48,5,5,5,5,5,5,1,146.686,5,6,39,5,5,5,5,2,2,43,1,1
6,12,10,9,16,Easy,negMom,4,3,3,3.333333333,3,3,3,3,4,5,63,4,4,5,4.333333333,5,2,13,2,2,2,2,3,5,1,140.758,6,8,74,5,5,4,4.666666667,2,3,28,1,1
11,14,17,14,22,Hard,posMom,8,8,8,8,7,7,7,7,5,5,50,6,6,6,6,5,5,66,7,7,7,7,6,6,1,114.95,7,10,72,8,8,8,8,1,2,25,2,1
6,6,5,6,7,Easy,negMom,3,3,3,3,1,1,1,1,1,4,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,116.988,1,8,4,1,1,1,1,2,3,51,1,3
17,21,26,21,52,Easy,negMom,7,7,8,7.333333333,6,6,7,6.333333333,4,3,43,4,5,5,4.666666667,3,2,21,4,4,5,4.333333333,4,5,1,258.889,10,10,86,7,8,10,8.333333333,4,2,24,3,2
25,23,18,22,45,Easy,negMom,7,8,8,7.666666667,6,5,7,6,8,6,69,7,7,8,7.333333333,9,6,78,8,8,9,8.333333333,9,10,1,144.993,10,8,90,9,9,9,9,2,2,21,1,1
8,9,11,9,18,Hard,posMom,3,6,6,5,3,3,3,3,3,5,41,4,5,4,4.333333333,4,6,56,6,6,6,6,6,3,1,338.326,3,5,48,5,4,6,5,2,2,52,2,1
8,9,15,11,19,Easy,negMom,6,7,6,6.333333333,8,8,8,8,8,2,84,5,5,5,5,5,2,51,4,4,4,4,4,5,1,242.548,8,10,100,7,8,9,8,3,2,40,2,1
16,20,32,23,52,Hard,posMom,10,9,10,9.666666667,8,9,8,8.333333333,8,5,69,8,8,8,8,8,6,86,9,9,9,9,8,8,1,299.219,9,10,90,9,9,9,9,3,3,37,2,1
12,14,22,16,36,Hard,posMom,8,8,8,8,8,8,8,8,8,6,81,9,9,9,9,9,7,92,10,10,10,10,9,7,1,283.102,9,10,74,8,9,9,8.666666667,3,3,39,1,1
12,14,11,12,39,Easy,negMom,7,7,7,7,5,5,5,5,5,4,52,6,5,6,5.666666667,6,4,23,5,5,5,5,5,5,2,401.164,3,7,8,5,5,5,5,2,2,61,2,3
10,14,19,14,23,Easy,negMom,6,6,6,6,7,7,6,6.666666667,5,1,16,2,2,3,2.333333333,2,1,2,2,2,2,2,2,1,2,149.867,2,7,54,3,2,2,2.333333333,2,3,30,2,2
6,8,5,6,14,Easy,negMom,5,7,5,5.666666667,1,1,3,1.666666667,1,5,61,4,6,6,5.333333333,3,4,57,5,1,3,3,3,1,2,294.033,6,10,54,6,6,6,6,2,3,37,2,1
4,7,10,7,12,Hard,posMom,2,2,2,2,1,3,3,2.333333333,3,5,50,3,3,2,2.666666667,3,5,50,4,4,4,4,5,1,2,134.542,4,5,50,5,4,5,4.666666667,1,4,41,2,1
3,9,5,6,20,Hard,posMom,7,8,8,7.666666667,2,2,5,3,3,7,82,6,7,6,6.333333333,6,3,46,5,5,5,5,5,6,1,282.369,10,10,100,9,10,10,9.666666667,1,2,24,1,1
11,15,18,15,41,Hard,posMom,8,8,8,8,8,8,8,8,8,6,65,8,8,8,8,8,6,64,8,8,8,8,8,7,1,223.658,9,9,84,9,9,9,9,1,2,53,1,1
3,3,2,3,9,Easy,negMom,5,6,5,5.333333333,4,4,5,4.333333333,5,4,65,6,6,6,6,7,4,58,6,6,7,6.333333333,7,6,2,193.792,6,8,67,6,7,7,6.666666667,1,2,34,1,1
13,20,12,15,46,Hard,posMom,9,10,9,9.333333333,8,8,8,8,9,7,93,9,9,9,9,9,3,62,3,3,3,3,7,7,1,294.709,10,10,95,10,10,10,10,2,2,21,2,1
10,7,8,8,18,Easy,negMom,5,5,5,5,5,5,7,5.666666667,6,2,32,3,3,3,3,3,5,39,5,5,5,5,5,5,1,173.732,5,7,50,5,5,5,5,3,2,50,2,1
11,8,16,12,36,Easy,negMom,3,3,3,3,6,6,6,6,4,2,11,3,3,3,3,3,3,15,3,3,3,3,3,3,2,282.992,8,8,54,7,7,7,7,2,3,70,1,2
9,16,11,12,21,Hard,posMom,5,6,6,5.666666667,4,3,4,3.666666667,4,5,49,5,5,5,5,5,3,27,5,4,4,4.333333333,5,4,2,294.358,5,7,48,6,6,5,5.666666667,2,3,29,1,3
4,13,14,10,23,Hard,posMom,9,9,9,9,3,3,5,3.666666667,4,7,98,10,10,10,10,10,7,100,10,10,10,10,10,8,1,200.238,7,8,68,8,8,8,8,2,3,29,2,1
8,11,17,12,52,Hard,posMom,6,6,6,6,4,4,4,4,3,5,36,4,4,4,4,4,6,68,5,5,5,5,5,5,1,371.544,6,7,86,7,7,7,7,3,4,24,2,1
11,13,16,13,52,Hard,posMom,5,5,5,5,6,5,5,5.333333333,5,5,50,7,7,7,7,6,5,50,6,6,6,6,5,5,2,538.274,7,10,37,6,6,6,6,3,3,58,2,3
13,18,17,16,52,Hard,posMom,6,7,8,7,6,7,8,7,7,6,76,7,8,8,7.666666667,7,5,68,7,8,8,7.666666667,7,7,1,412.639,7,9,84,7,8,8,7.666666667,4,4,53,2,1
11,16,15,14,17,Easy,negMom,4,4,4,4,6,6,5,5.666666667,5,5,73,7,7,6,6.666666667,6,3,64,5,5,5,5,5,5,2,280.797,3,7,45,3,5,5,4.333333333,2,5,25,2,2
0,5,15,7,52,Hard,posMom,3,3,4,3.333333333,1,1,1,1,1,2,2,1,1,1,1,1,3,12,3,3,3,3,3,5,1,228.894,4,4,15,3,3,3,3,2,2,34,2,1
7,10,13,10,31,Hard,posMom,6,8,7,7,2,5,7,4.666666667,3,5,89,6,7,8,7,5,6,100,7,8,9,8,5,5,2,563.743,6,10,100,6,9,10,8.333333333,1,2,30,1,1
7,5,0,4,24,Easy,negMom,2,9,9,6.666666667,1,1,1,1,2,5,51,6,6,6,6,6,6,74,7,7,7,7,7,7,1,313.433,4,9,43,2,3,7,4,3,4,23,2,1
4,5,9,6,48,Hard,posMom,3,3,3,3,3,3,3,3,4,5,50,4,4,4,4,5,6,75,5,5,6,5.333333333,6,6,1,376.589,9,9,85,9,9,9,9,1,3,29,1,1
