ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,timeComp,Round1,Interruption,Condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,likelyWin,expWin,perfChangePostInt,momPostInt,skillPostInt,confPostInt,trustPostInt,effPostInt,compPerfPostInt,likelyWinPostInt,expWinPostInt,perfComp,effortComp,momPostComp,skillComp,confidentComp,trustComp,effComp,familiar,education,age,gender
0,0,0,0,0,2.333,Easy,No,EasyNo,7,8,6,7,6,8,4,6,7,66,4,7,6,5.666666667,8,5,51,7,8,5,6.666666667,7,4,1,,,,,,,,,,5,8,40,8,5,7,6.666666667,3,3,32,1
0,0,0,0,0,2.465,Easy,Yes,EasyYes,6,5,7,6,5,4,7,5.333333333,6,41,5,6,6,5.666666667,5,3,38,5,6,5,5.333333333,6,6,2,4,63,6,5,6,5.666666667,7,5,2,5,7,59,6,5,6,5.666666667,1,3,34,1
0,0,0,0,0,2.709,Hard,Yes,HardYes,6,7,8,7,7,5,4,5.333333333,7,22,5,7,8,6.666666667,9,5,54,6,4,6,5.333333333,8,6,1,3,66,8,9,7,8,9,8,1,7,4,61,8,6,4,6,1,3,33,1
0,2,7,3,0,2.872,Easy,No,EasyNo,8,8,9,8.333333333,4,3,3,3.333333333,3,,1,1,1,1,1,1,0,1,1,1,1,1,1,2,,,,,,,,,,1,1,0,1,1,1,1,1,2,33,1
0,0,0,0,0,3.303,Easy,No,EasyNo,7,9,7,7.666666667,8,6,8,7.333333333,9,56,5,8,8,7,9,6,64,6,8,7,7,9,7,1,,,,,,,,,,8,7,68,8,6,5,6.333333333,3,3,33,1
1,1,2,1,0,5.544,Easy,Yes,EasyYes,7,9,9,8.333333333,3,8,8,6.333333333,7,17,3,7,7,5.666666667,8,2,12,3,7,8,6,9,2,2,2,0,3,7,7,5.666666667,8,2,2,1,1,0,1,1,1,1,2,2,25,1
1,1,1,1,1,5.948,Easy,No,EasyNo,6,6,6,6,2,2,2,2,2,12,2,2,2,2,2,2,18,2,2,2,2,2,2,2,,,,,,,,,,2,2,10,2,2,2,2,1,2,21,1
2,3,6,4,0,7.691,Easy,Yes,EasyYes,3,2,3,2.666666667,2,3,2,2.333333333,2,39,1,1,1,1,2,1,27,1,1,1,1,1,5,2,2,24,1,1,1,1,1,1,2,1,1,28,1,1,1,1,1,3,29,2
7,6,5,6,2,12.35,Hard,No,HardNo,6,6,7,6.333333333,4,4,4,4,3,14,2,2,2,2,2,1,7,2,2,2,2,2,1,2,,,,,,,,,,2,4,9,2,2,2,2,2,2,41,2
1,1,3,2,1,13.038,Easy,No,EasyNo,5,6,7,6,5,6,7,6,6,22,6,7,7,6.666666667,6,5,62,7,6,6,6.333333333,7,6,1,,,,,,,,,,5,6,63,7,6,6,6.333333333,2,2,29,1
2,1,2,2,3,27.849,Easy,Yes,EasyYes,5,5,5,5,2,2,2,2,2,14,2,2,2,2,2,3,9,3,3,3,3,3,3,2,3,17,3,3,3,3,3,3,2,3,5,11,3,3,3,3,2,3,30,1
4,10,7,7,4,27.946,Easy,Yes,EasyYes,1,1,1,1,1,1,1,1,1,12,2,2,1,1.666666667,2,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,3,25,1
7,12,22,14,9,33.307,Easy,Yes,EasyYes,10,10,10,10,10,10,10,10,10,62,10,10,10,10,10,5,57,10,9,10,9.666666667,10,10,1,3,81,9,2,10,7,3,10,1,6,10,69,9,6,1,5.333333333,2,3,30,3
10,9,14,11,2,33.715,Hard,No,HardNo,6,6,7,6.333333333,6,6,7,6.333333333,6,64,7,7,7,7,7,5,67,7,7,7,7,7,3,2,,,,,,,,,,6,3,62,7,7,7,7,2,3,52,1
5,3,3,4,6,39.389,Hard,Yes,HardYes,8,7,9,8,6,8,5,6.333333333,6,58,7,8,6,7,7,2,44,6,3,6,5,6,7,1,2,62,8,7,6,7,3,4,1,5,7,46,7,8,5,6.666666667,3,3,29,1
3,3,4,3,6,43.957,Hard,Yes,HardYes,8,7,8,7.666666667,7,9,8,8,7,51,8,9,9,8.666666667,8,5,65,8,9,8,8.333333333,9,10,1,6,83,9,8,8,8.333333333,9,9,1,9,9,89,9,8,9,8.666666667,2,3,28,1
4,5,4,4,5,47.733,Easy,Yes,EasyYes,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,2,1,5,0,1,1,1,1,1,3,29,1
3,3,10,5,6,47.793,Hard,Yes,HardYes,2,2,2,2,2,2,2,2,2,29,2,3,2,2.333333333,2,4,45,4,4,4,4,4,5,1,4,38,5,5,5,5,5,5,1,6,6,51,6,6,6,6,3,2,31,2
0,1,3,1,3,49.557,Easy,Yes,EasyYes,6,7,8,7,6,7,5,6,5,28,4,5,6,5,6,2,29,4,3,4,3.666666667,4,4,2,3,43,6,4,5,5,3,8,2,5,6,38,5,6,4,5,2,2,25,1
7,8,8,8,4,49.735,Easy,Yes,EasyYes,3,3,4,3.333333333,3,3,4,3.333333333,3,50,3,3,4,3.333333333,3,3,43,3,3,4,3.333333333,3,2,2,3,51,3,4,4,3.666666667,3,3,2,4,8,50,3,4,4,3.666666667,1,3,45,2
4,4,3,4,4,54.481,Hard,Yes,HardYes,5,7,6,6,4,6,5,5,7,31,5,6,4,5,5,4,48,6,6,7,6.333333333,6,2,2,4,33,5,6,4,5,5,2,2,2,2,6,2,3,2,2.333333333,1,2,24,1
6,8,18,11,4,56.902,Easy,No,EasyNo,5,5,5,5,3,3,3,3,2,7,1,2,2,1.666666667,1,1,2,1,2,2,1.666666667,1,2,2,,,,,,,,,,1,3,1,1,1,1,1,2,3,27,2
3,4,5,4,5,57.372,Hard,No,HardNo,3,2,2,2.333333333,1,1,1,1,1,53,3,3,3,3,3,5,59,4,4,4,4,4,2,2,,,,,,,,,,4,3,44,2,2,2,2,2,4,28,1
8,11,14,11,13,64.398,Hard,No,HardNo,8,7,8,7.666666667,7,6,7,6.666666667,6,45,8,8,7,7.666666667,7,5,53,7,8,7,7.333333333,6,5,1,,,,,,,,,,7,8,50,7,7,7,7,4,3,60,2
2,4,6,4,9,69.363,Hard,Yes,HardYes,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,5,11,2,2,2,2,2,1,2,5,14,2,2,2,2,2,1,2,2,2,7,2,2,2,2,2,3,33,1
2,2,2,2,4,70.265,Hard,No,HardNo,8,9,9,8.666666667,8,8,8,8,8,83,9,9,9,9,9,5,31,8,8,7,7.666666667,8,9,1,,,,,,,,,,9,9,91,9,10,9,9.333333333,1,3,35,1
6,6,4,5,7,74.66,Easy,Yes,EasyYes,6,5,6,5.666666667,2,3,4,3,4,55,6,5,6,5.666666667,6,4,49,5,5,4,4.666666667,5,7,1,4,0,1,1,1,1,1,6,1,7,8,78,8,8,8,8,3,3,30,1
10,12,10,11,12,76.7,Easy,No,EasyNo,3,2,2,2.333333333,2,2,2,2,2,18,3,3,3,3,3,4,0,2,2,2,2,2,2,2,,,,,,,,,,3,3,19,3,3,3,3,1,2,22,1
20,18,14,17,47,76.754,Easy,Yes,EasyYes,7,7,7,7,6,6,6,6,6,59,7,7,7,7,7,5,61,7,7,7,7,7,6,1,5,56,7,7,7,7,7,6,1,7,7,50,7,7,7,7,4,2,40,2
5,6,7,6,8,76.993,Easy,Yes,EasyYes,4,4,4,4,3,4,3,3.333333333,2,19,2,2,2,2,2,3,11,2,2,2,2,1,5,2,3,27,2,2,2,2,2,5,2,5,4,44,3,3,3,3,1,3,45,1
11,10,5,9,13,77.097,Easy,No,EasyNo,7,8,9,8,2,2,2,2,4,36,4,4,5,4.333333333,5,5,46,5,5,5,5,5,9,1,,,,,,,,,,7,9,64,7,7,7,7,1,4,33,1
6,6,13,8,7,79.329,Hard,No,HardNo,7,7,6,6.666666667,4,4,4,4,4,50,5,5,5,5,5,7,73,7,7,7,7,7,6,2,,,,,,,,,,5,7,52,4,5,5,4.666666667,1,2,29,2
5,7,18,10,23,79.618,Easy,No,EasyNo,8,8,8,8,7,7,7,7,5,28,1,1,1,1,1,1,4,1,1,1,1,1,1,2,,,,,,,,,,1,1,10,1,1,1,1,3,2,31,2
3,8,14,8,9,80.344,Hard,No,HardNo,5,3,3,3.666666667,1,1,1,1,1,87,8,8,8,8,8,7,93,9,9,9,9,9,10,1,,,,,,,,,,10,10,98,10,10,10,10,1,2,27,1
9,12,20,14,18,83.717,Easy,No,EasyNo,2,2,2,2,6,6,6,6,6,25,4,4,4,4,4,3,15,3,3,3,3,3,3,2,,,,,,,,,,6,6,38,5,5,5,5,2,5,24,1
6,5,13,8,7,85.086,Hard,Yes,HardYes,8,8,8,8,5,5,5,5,5,50,5,5,5,5,5,6,82,8,8,8,8,8,5,1,4,51,5,5,5,5,5,7,1,6,6,55,6,6,6,6,1,2,28,2
6,6,10,7,8,87.718,Hard,Yes,HardYes,7,6,7,6.666666667,6,5,3,4.666666667,3,32,3,4,5,4,2,6,54,6,5,4,5,5,5,1,4,51,6,7,7,6.666666667,5,6,1,5,9,48,6,8,8,7.333333333,1,2,21,2
5,9,9,8,9,89.446,Easy,No,EasyNo,3,4,4,3.666666667,4,4,4,4,4,41,4,4,4,4,4,3,10,3,4,4,3.666666667,4,3,2,,,,,,,,,,4,4,27,4,4,4,4,2,3,35,1
5,9,11,8,13,89.895,Easy,No,EasyNo,9,9,9,9,8,8,8,8,8,87,7,9,9,8.333333333,8,1,66,4,7,6,5.666666667,6,9,1,,,,,,,,,,9,10,93,10,10,10,10,2,2,30,1
9,7,10,9,13,90.088,Easy,No,EasyNo,3,3,3,3,3,3,3,3,2,0,2,2,2,2,1,3,31,3,3,3,3,3,3,2,,,,,,,,,,7,7,58,5,5,5,5,2,3,31,1
4,6,7,6,9,92.099,Easy,Yes,EasyYes,7,7,7,7,10,10,10,10,10,49,10,10,10,10,10,2,1,5,5,5,5,5,5,1,3,0,5,5,5,5,5,5,1,5,5,52,5,5,5,5,1,3,29,2
6,8,10,8,14,92.493,Hard,Yes,HardYes,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,11,1,1,1,1,1,10,1,5,4,1,1,1,1,1,10,1,1,10,8,1,1,1,1,2,2,26,1
8,10,14,11,20,94.585,Hard,No,HardNo,6,6,6,6,6,6,6,6,6,50,6,6,6,6,6,4,50,6,6,6,6,6,5,1,,,,,,,,,,6,7,50,6,6,6,6,2,3,35,1
3,8,16,9,17,97.181,Hard,No,HardNo,7,8,8,7.666666667,5,6,7,6,7,81,8,7,8,7.666666667,8,7,94,8,9,9,8.666666667,9,9,1,,,,,,,,,,7,9,0,9,8,8,8.333333333,1,3,33,2
23,34,8,22,52,101.991,Easy,Yes,EasyYes,6,5,5,5.333333333,1,1,1,1,1,60,5,4,5,4.666666667,7,6,70,4,4,5,4.333333333,5,8,2,5,52,4,4,5,4.333333333,5,5,2,7,6,55,7,4,5,5.333333333,2,3,29,1
8,5,8,7,12,102.531,Hard,No,HardNo,8,9,9,8.666666667,7,8,9,8,7,51,6,6,5,5.666666667,8,6,73,7,7,7,7,8,8,1,,,,,,,,,,8,9,76,7,8,8,7.666666667,3,3,24,1
2,5,8,5,9,102.609,Hard,Yes,HardYes,6,8,8,7.333333333,1,1,3,1.666666667,1,76,7,9,6,7.333333333,4,7,94,9,9,8,8.666666667,7,6,1,7,98,9,9,8,8.666666667,7,7,1,9,8,77,10,10,9,9.666666667,3,2,44,1
16,11,13,13,18,104.537,Easy,Yes,EasyYes,4,4,5,4.333333333,4,4,4,4,4,48,4,4,4,4,4,4,51,4,4,4,4,4,4,1,3,48,4,4,4,4,4,4,1,6,7,63,6,6,6,6,4,3,55,2
17,19,9,15,25,107.22,Easy,No,EasyNo,8,8,10,8.666666667,8,8,10,8.666666667,8,88,9,10,10,9.666666667,9,4,75,9,10,9,9.333333333,9,10,1,,,,,,,,,,10,10,95,10,10,10,10,3,3,46,1
