"","ScoreHard","ScoreMedium","ScoreEasy","ScoreAverage","ScoreComp","timeComp","Round1","Condition","skillPre","confidentPre","trustPre","effPre","skillPost1","confidentPost1","trustPost1","effPost1","compPerfPost1","perfChangePost2","momPost2","skillPost2","confidentPost2","trustPost2","effPost2","compPerfPost2","perfChangePost2.1","momPreComp","skillPreComp","confidentPreComp","trustPreComp","effPreComp","compPerfPreComp","likelyWin","expWin","perfComp","effortComp","momPostComp","skillComp","confidentComp","trustComp","effComp","age","gender","experience","education"
"1",7,5,15,9,7,44.74,"Easy","negMom",7,7,7,7,7,7,8,7.333333333,7,2,57,7,7,7,7,7,4,54,7,7,7,7,7,7,1,7,7,54,7,7,7,7,26,1,1,3
"2",15,13,20,16,30,180.923,"Hard","posMom",10,10,10,10,10,10,10,10,10,3,80,10,10,10,10,10,7,100,10,10,10,10,10,5,1,10,10,100,10,10,10,10,31,1,1,4
"3",10,6,16,11,21,180.971,"Hard","posMom",5,5,6,5.333333333,5,5,5,5,5,3,51,5,5,4,4.666666667,4,5,50,5,5,5,5,5,5,1,7,10,70,6,6,6,6,21,2,2,2
"4",2,6,8,5,13,180.898,"Easy","negMom",7,7,7,7,7,7,7,7,7,3,22,6,6,6,6,6,2,8,4,4,4,4,4,3,2,7,7,55,7,7,7,7,30,1,2,2
"5",8,15,15,13,20,180.731,"Easy","negMom",3,4,4,3.666666667,6,6,5,5.666666667,4,4,47,6,7,6,6.333333333,6,3,42,5,4,4,4.333333333,5,6,1,7,9,63,6,6,7,6.333333333,31,1,1,3
"6",8,13,14,12,27,181.314,"Hard","posMom",7,8,8,7.666666667,3,2,5,3.333333333,5,5,57,5,5,6,5.333333333,6,6,64,6,6,7,6.333333333,6,5,2,8,9,82,8,9,9,8.666666667,27,1,2,4
"7",9,20,28,19,52,167.519,"Hard","posMom",2,2,2,2,6,6,6,6,6,7,100,10,10,10,10,10,7,100,10,10,10,10,10,10,1,10,10,100,10,10,10,10,28,1,5,3
"8",2,7,12,7,16,181.117,"Hard","posMom",5,5,5,5,2,2,2,2,2,6,49,5,5,5,5,5,6,64,6,6,6,6,6,5,1,7,9,66,7,7,7,7,21,1,2,2
"9",1,9,2,4,10,181.49,"Easy","negMom",4,5,5,4.666666667,2,3,3,2.666666667,1,6,5,4,4,4,4,4,3,5,1,1,1,1,1,1,2,4,4,10,3,3,2,2.666666667,33,1,1,3
"10",8,13,15,12,21,180.802,"Easy","negMom",7,7,7,7,5,5,5,5,4,3,30,3,3,3,3,2,1,0,1,1,1,1,1,2,2,3,10,19,3,3,3,3,48,2,1,2
"11",8,15,15,13,28,180.965,"Easy","negMom",3,3,3,3,7,7,8,7.333333333,6,4,46,7,7,8,7.333333333,7,3,31,4,4,8,5.333333333,4,4,2,8,9,50,7,7,7,7,22,2,3,2
"12",5,10,12,9,11,180.861,"Hard","posMom",3,2,4,3,1,3,4,2.666666667,3,5,59,5,3,6,4.666666667,5,5,55,4,6,7,5.666666667,4,5,1,5,8,40,4,6,7,5.666666667,31,2,1,2
"13",8,15,19,14,27,180.772,"Easy","negMom",4,4,5,4.333333333,7,8,7,7.333333333,5,4,51,6,7,7,6.666666667,5,3,43,5,5,6,5.333333333,5,4,2,8,8,79,8,8,8,8,33,2,2,3
"14",10,6,9,8,18,180.762,"Easy","negMom",7,7,8,7.333333333,5,6,6,5.666666667,5,3,46,5,5,6,5.333333333,5,5,50,5,6,6,5.666666667,5,4,1,6,8,56,7,8,8,7.666666667,55,1,3,3
