scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder
2,2,1,2,0,Hard,posMom,4,0,3,0,1,2,3,3,43,2,1,4,3
21,17,26,21,0,Easy,negMom,3,50,3,50,5,2,3,3,51,1,4,6,2
7,3,12,7,0,Hard,posMom,1,2,5,80,4,2,2,3,26,1,1,4,3
3,7,10,7,0,Easy,negMom,1,29,1,1,1,2,2,2,31,1,2,4,3
16,12,6,11,19,Easy,negMom,7,92,6,78,7,1,1,2,19,1,5,6,3
13,11,22,15,0,Easy,negMom,2,38,2,34,4,2,2,3,23,2,2,4,2
30,30,19,26,0,Easy,negMom,6,82,6,77,5,2,3,3,29,1,2,6,1
8,9,17,11,13,Hard,posMom,5,65,6,91,10,1,1,2,24,1,2,5,1
7,11,13,10,16,Hard,posMom,6,83,6,83,5,1,1,2,62,1,6,7,1
5,10,12,9,13,Hard,posMom,6,89,7,95,8,1,2,3,24,2,6,7,1
5,6,10,7,0,Hard,posMom,4,51,5,70,7,2,1,3,35,1,1,4,3
9,17,17,14,0,Hard,posMom,4,50,4,50,2,2,2,2,46,1,4,4,1
7,9,11,9,12,Hard,posMom,5,25,5,45,2,1,3,3,29,1,4,4,3
5,8,6,6,0,Easy,negMom,5,10,4,3,5,2,3,3,45,2,2,5,2
8,16,16,13,19,Hard,posMom,7,82,5,50,7,1,2,3,24,1,5,6,3
6,3,5,5,8,Easy,negMom,2,13,4,38,5,1,2,3,54,1,5,5,3
14,16,11,14,23,Easy,negMom,7,62,4,29,1,1,2,2,38,1,2,5,1
4,7,11,7,5,Hard,posMom,5,28,5,35,2,1,1,2,27,2,4,4,3
16,16,12,15,22,Easy,negMom,6,40,4,35,9,1,2,4,29,1,5,7,1
5,10,6,7,9,Easy,negMom,6,72,2,33,5,1,2,2,37,2,5,5,1
3,5,8,5,7,Hard,posMom,5,64,6,70,7,1,1,3,72,2,4,5,1
10,11,10,10,17,Easy,negMom,5,79,3,63,8,1,2,2,58,2,5,6,2
8,9,11,9,12,Hard,posMom,4,53,4,56,5,1,2,3,34,1,2,4,3
4,12,8,8,9,Easy,negMom,7,76,1,23,4,1,3,3,52,2,5,5,2
9,11,20,13,17,Hard,posMom,7,100,7,100,10,1,3,3,48,2,6,6,3
4,4,5,4,8,Hard,posMom,5,36,5,55,3,1,2,3,41,1,2,4,3
13,14,20,16,0,Hard,posMom,5,50,6,76,10,2,2,3,30,1,4,5,3
6,7,8,7,7,Hard,posMom,5,61,5,70,4,1,3,2,60,2,5,5,3
4,5,8,6,8,Hard,posMom,4,56,4,55,7,1,1,3,42,1,4,5,3
10,5,12,9,9,Easy,negMom,3,50,3,24,5,1,3,2,26,2,4,4,2
6,10,9,8,11,Easy,negMom,5,67,3,50,5,1,1,2,47,2,5,6,3
5,7,13,8,10,Hard,posMom,4,0,5,11,1,1,2,3,30,1,4,2,3
4,3,8,5,7,Hard,posMom,3,36,6,81,3,1,2,2,34,1,2,5,1
9,14,10,11,11,Easy,negMom,5,51,4,48,4,1,3,3,43,1,5,5,2
5,8,8,7,0,Easy,negMom,4,18,2,2,1,2,2,3,55,2,2,3,2
15,11,14,13,13,Easy,negMom,3,50,5,62,8,1,1,3,36,1,5,6,3
6,4,10,7,7,Easy,negMom,2,13,3,35,3,1,2,3,24,1,2,3,2
13,15,17,15,0,Easy,negMom,4,57,4,66,7,2,2,4,27,1,2,4,2
13,13,21,16,19,Hard,posMom,4,41,5,51,2,1,2,3,43,2,4,5,1
11,16,19,15,26,Hard,posMom,5,51,6,73,5,1,3,2,27,2,5,5,3
10,13,18,14,23,Hard,posMom,5,65,7,100,10,1,3,3,30,1,6,6,3
15,11,12,13,28,Easy,negMom,3,40,5,77,8,1,3,2,38,2,4,4,3
3,4,10,6,6,Hard,posMom,1,12,5,51,1,1,2,3,66,2,1,4,3
8,11,9,9,12,Easy,negMom,5,71,3,55,7,1,3,3,42,2,5,5,3
12,12,12,12,0,Hard,posMom,4,22,4,20,6,2,2,2,21,1,4,5,3
10,8,15,11,20,Hard,posMom,4,25,5,61,5,1,2,3,27,1,4,5,1
3,6,5,5,7,Easy,negMom,3,22,1,2,1,1,1,4,31,1,1,3,3
1,2,5,3,0,Hard,posMom,5,60,6,71,6,2,1,4,33,2,4,6,1
8,12,12,11,14,Hard,posMom,7,89,7,94,8,1,1,2,18,2,5,2,1
4,2,3,3,0,Easy,negMom,3,22,4,0,2,2,3,3,28,2,2,5,3
8,9,7,8,10,Easy,negMom,5,74,5,51,2,1,3,3,33,2,4,6,2
7,9,5,7,10,Hard,posMom,6,74,6,74,10,1,1,2,19,1,4,5,1
14,16,13,14,19,Easy,negMom,5,50,4,50,5,1,3,4,46,2,5,6,2
4,20,20,15,0,Hard,posMom,6,83,5,64,8,2,2,2,36,1,5,5,3
4,4,5,4,5,Hard,posMom,4,27,4,48,3,1,1,3,72,1,4,5,1
7,6,7,7,0,Easy,negMom,5,70,6,83,3,2,2,3,25,1,4,3,3
30,22,0,17,31,Easy,negMom,7,86,7,94,10,1,4,3,29,1,6,7,1
9,6,14,10,10,Hard,posMom,2,34,6,79,7,1,2,2,64,2,6,7,1
12,10,24,15,17,Hard,posMom,3,49,7,93,6,1,1,2,27,1,5,5,3
4,4,3,4,8,Easy,negMom,4,50,4,51,3,1,2,2,31,1,5,4,3
7,9,12,9,0,Hard,posMom,5,40,6,44,8,2,2,4,41,2,4,6,3
4,12,6,7,8,Easy,negMom,6,74,3,34,5,1,3,2,45,1,4,6,2
10,11,10,10,0,Easy,negMom,5,74,4,82,3,2,2,5,34,2,4,6,3
16,13,16,15,19,Easy,negMom,3,51,4,63,7,1,3,4,34,1,2,4,3
10,13,13,12,0,Hard,posMom,6,71,5,65,3,2,3,3,22,1,5,6,3
14,17,14,15,0,Easy,negMom,5,53,4,51,3,2,1,4,29,2,4,4,2
4,6,6,5,0,Easy,negMom,4,0,4,0,1,2,2,2,59,2,1,1,3
3,7,12,7,8,Easy,negMom,3,61,3,57,7,1,2,3,39,1,4,6,2
12,15,18,15,18,Hard,posMom,6,80,6,87,7,1,3,3,53,2,5,5,2
9,11,15,12,12,Hard,posMom,5,39,6,48,5,1,2,2,27,2,4,6,3
8,10,10,9,0,Easy,negMom,4,60,3,50,3,2,1,2,35,2,2,3,2
10,9,17,12,17,Hard,posMom,4,50,5,69,5,1,3,5,54,2,4,4,3
2,7,10,6,7,Hard,posMom,7,72,7,80,7,1,2,3,33,2,5,7,3
10,10,13,11,17,Hard,posMom,4,17,5,27,2,1,1,2,46,1,6,6,3
11,9,10,10,0,Easy,negMom,4,5,4,4,5,2,2,4,39,1,1,6,3
7,11,9,9,10,Hard,posMom,5,30,4,16,7,1,2,5,33,1,2,4,3
4,6,5,5,0,Easy,negMom,5,51,4,43,4,2,3,2,61,2,4,4,3
7,12,13,11,15,Hard,posMom,6,100,4,73,5,1,2,4,35,2,2,4,3
8,13,17,13,0,Easy,negMom,3,35,1,6,2,2,2,3,32,2,2,3,2
10,8,17,12,0,Easy,negMom,1,15,3,18,8,2,1,2,22,2,2,6,3
11,14,22,16,21,Easy,negMom,3,6,1,1,3,1,3,2,42,2,2,6,3
6,6,2,5,12,Easy,negMom,5,36,4,43,3,1,2,3,27,2,4,5,3
7,11,13,10,13,Hard,posMom,5,32,5,43,2,1,2,4,40,2,4,5,1
14,25,23,21,27,Easy,negMom,5,60,3,25,6,1,3,3,33,2,5,6,2
6,5,7,6,5,Hard,posMom,4,26,5,50,6,1,2,2,44,1,5,5,3
7,4,6,6,0,Hard,posMom,4,50,4,50,1,2,1,3,23,1,1,4,3
10,17,19,15,22,Easy,negMom,3,100,3,100,6,1,1,2,43,2,6,7,2
4,13,16,11,13,Hard,posMom,6,51,7,84,5,1,2,3,27,2,4,4,2
8,10,10,9,0,Hard,posMom,6,43,6,72,6,2,3,4,39,1,2,5,1
2,8,7,6,9,Hard,posMom,7,100,6,90,1,1,1,3,29,2,5,6,1
8,9,8,8,15,Easy,negMom,5,100,4,56,8,1,1,2,21,2,5,7,2
13,9,17,13,16,Hard,posMom,1,50,5,72,2,1,2,3,33,2,5,7,1
5,5,17,9,16,Hard,posMom,4,50,5,58,5,1,2,3,26,1,4,6,1
3,8,11,7,13,Hard,posMom,7,61,7,98,10,1,3,3,33,2,5,5,1
0,0,0,0,0,Hard,posMom,1,9,1,1,1,2,1,2,30,1,1,1,3
11,17,22,17,18,Hard,posMom,6,40,7,50,5,1,3,3,36,2,4,5,1
4,6,9,6,7,Hard,posMom,5,100,6,100,5,1,2,3,57,2,5,3,1
9,10,13,11,14,Hard,posMom,4,33,5,47,5,1,2,2,18,2,4,5,1
4,9,9,7,10,Easy,negMom,4,54,2,35,5,1,3,3,27,1,4,5,2
5,7,11,8,0,Hard,posMom,6,81,7,100,3,2,1,3,30,1,6,4,3
9,13,15,12,14,Easy,negMom,3,61,2,26,8,1,3,3,38,1,5,6,2
8,8,6,7,6,Easy,negMom,5,58,6,62,4,1,2,2,25,1,5,2,3
13,11,13,12,19,Easy,negMom,3,66,4,55,8,1,1,2,39,1,5,6,3
5,11,11,9,8,Easy,negMom,4,100,1,25,7,1,3,2,35,2,4,4,2
15,12,4,10,17,Easy,negMom,7,82,6,82,5,1,3,3,36,2,6,6,1
9,12,20,14,21,Hard,posMom,5,73,6,82,7,1,2,3,47,1,4,4,3
16,14,14,15,0,Easy,negMom,4,73,5,67,3,2,2,2,25,1,4,5,3
12,11,17,13,15,Easy,negMom,1,20,2,9,3,1,3,4,58,2,5,4,2
5,4,6,5,7,Easy,negMom,2,18,3,29,4,1,3,2,50,1,5,6,3
4,6,10,7,0,Hard,posMom,4,1,5,8,1,2,1,3,25,1,2,4,1
5,7,4,5,8,Easy,negMom,5,19,4,0,4,1,1,2,23,2,4,3,3
9,11,10,10,12,Easy,negMom,5,80,5,50,7,1,2,3,26,1,5,6,3
11,13,26,17,22,Hard,posMom,7,55,7,73,4,1,2,2,20,2,6,6,1
4,7,9,7,0,Easy,negMom,3,25,2,12,5,2,1,4,46,1,1,4,2
8,8,10,9,0,Hard,posMom,3,8,5,33,3,2,2,3,25,1,2,6,3
13,9,13,12,0,Easy,negMom,3,77,4,50,5,2,1,2,45,2,4,5,2
12,12,3,9,18,Easy,negMom,7,75,5,65,10,1,2,2,21,2,4,4,3
9,6,11,9,11,Hard,posMom,3,46,5,55,5,1,2,4,45,2,4,5,3
11,8,7,9,0,Easy,negMom,5,20,5,46,3,2,2,3,22,1,1,4,3
3,4,4,4,0,Easy,negMom,4,50,3,51,7,2,1,3,35,1,2,4,3
5,6,11,7,10,Hard,posMom,5,50,5,50,5,1,2,3,34,1,2,3,1
3,9,9,7,11,Easy,negMom,4,73,2,24,3,1,2,3,36,1,2,6,2
9,13,14,12,15,Hard,posMom,6,76,6,79,5,1,2,2,30,2,5,6,1
4,5,4,4,0,Easy,negMom,5,1,3,0,5,2,3,3,65,1,1,4,3
14,9,17,13,14,Easy,negMom,1,37,3,35,5,1,2,4,32,2,5,5,2
1,1,5,2,5,Hard,posMom,1,0,5,36,5,1,1,3,67,1,5,7,1
2,2,8,4,0,Hard,posMom,4,50,5,50,4,2,3,4,62,1,2,6,1
10,10,22,14,23,Hard,posMom,4,0,5,74,9,1,1,3,32,2,5,5,3
9,7,17,11,0,Easy,negMom,1,100,1,50,1,2,2,3,53,1,2,3,2
6,8,10,8,11,Hard,posMom,5,70,5,76,7,1,2,3,30,2,2,5,1
8,9,11,9,12,Hard,posMom,5,89,6,96,7,1,2,2,49,2,6,6,3
14,13,15,14,14,Hard,posMom,7,75,7,86,9,1,4,3,52,2,5,6,3
6,7,8,7,9,Easy,negMom,5,94,3,94,9,1,3,2,63,2,5,6,3
6,9,8,8,9,Easy,negMom,5,57,2,37,7,1,3,2,55,2,5,2,3
2,7,10,6,0,Hard,posMom,3,24,5,50,2,2,3,2,24,2,2,3,3
5,4,3,4,0,Easy,negMom,5,63,5,80,5,2,1,2,22,2,2,6,3
