ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,predict,win,bonus,closePredict,Round1,condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,perfChangePost2,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,predict,likelyWin,expWin,perfComp,effortComp,familiar,education,age,gender,fun,mood
1,0,0,0,0,10,0,0,10,Hard,posMom,3,2,3,2.666666667,6,3,4,4.333333333,5,4,4,5,5,7,5.666666667,5,5,-12,5,6,7,6,5,10,5,1,6,7,3,3,23,1,2,6
7,15,17,13,8,15,0,0,7,Easy,negMom,4,3,4,3.666666667,2,2,2,2,1,4,4,3,2,3,2.666666667,3,3,-24,4,2,1,2.333333333,2,15,2,2,1,8,1,2,27,2,1,4
4,4,3,4,1,0,0,0,1,Hard,posMom,5,3,4,4,5,4,3,4,5,4,4,5,6,4,5,4,4,2,5,5,6,5.333333333,5,0,5,2,3,3,1,3,25,1,1,1
2,2,2,2,0,2,0,0,2,Hard,posMom,7,8,6,7,6,5,5,5.333333333,5,5,5,5,6,5,5.333333333,5,5,-1,6,7,7,6.666666667,5,2,5,2,1,10,1,3,27,1,4,6
0,4,4,3,3,2,0,0,1,Easy,negMom,8,9,8,8.333333333,3,2,4,3,5,4,4,3,4,5,4,5,5,-31,1,2,2,1.666666667,1,2,1,2,4,8,1,4,36,1,4,5
11,12,16,13,8,15,0,0,7,Hard,posMom,9,9,10,9.333333333,9,10,10,9.666666667,10,5,5,9,10,10,9.666666667,10,10,50,9,9,10,9.333333333,10,15,10,1,3,9,1,3,37,1,2,6
22,16,19,19,11,18,0,0,7,Easy,negMom,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,-4,3,3,3,3,3,18,3,2,3,8,2,2,23,3,4,3
5,8,12,8,10,10,1,2,0,Hard,posMom,9,9,9,9,7,8,8,7.666666667,8,4,4,8,8,8,8,8,8,50,9,9,9,9,9,10,9,1,10,10,1,3,33,1,4,5
7,11,14,11,8,13,0,0,5,Hard,posMom,7,7,7,7,5,5,5,5,5,5,5,6,6,6,6,6,6,14,6,6,6,6,6,13,6,2,4,8,2,4,34,2,2,2
10,10,13,11,12,10,1,1,2,Easy,negMom,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-42,3,3,3,3,3,10,3,2,1,4,2,3,59,1,1,1
