scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,status,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder,dweckNeg1,dweckNeg2,dweckNeg3,dweckNeg4,dweckNeg1rev,dweckNeg2rev,dweckNeg3rev,dweckNeg4rev,dweckPos1,dweckPos2,dweckPos3,dweckPos4,dweckAvg,compStats
5,7,12,8,0,Easy,Underdog,negMomUnder,3,50,2,23,4,2,2,3,26,1,2,4,2,5,4,4,4,3,4,4,4,4,5,5,5,4.25,
5,6,4,5,7,Easy,Underdog,negMomUnder,5,60,5,59,7,1,2,3,29,1,4,5,2,5,3,5,3,3,5,3,5,5,4,4,5,4.25,1
9,10,16,12,0,Easy,Favorite,negMomFav,3,64,2,59,3,2,2,3,41,2,4,5,2,5,4,3,3,3,4,5,5,5,6,6,6,5,
5,7,6,6,0,Easy,Favorite,negMomFav,4,51,4,50,3,2,1,2,26,1,4,5,3,5,5,5,5,3,3,3,3,2,3,3,3,2.875,
1,7,5,4,0,Easy,Underdog,negMomUnder,4,83,1,100,1,2,3,2,65,2,4,3,2,4,4,5,5,4,4,3,3,5,5,5,5,4.25,
8,12,16,12,17,Hard,Underdog,posMomUnder,6,50,6,54,10,1,1,2,33,1,4,4,3,6,5,5,3,2,3,3,5,4,5,4,4,3.75,1
2,5,5,4,0,Easy,Favorite,negMomFav,4,31,2,18,3,2,2,2,70,2,2,4,2,5,2,2,4,3,6,6,4,6,6,6,6,5.375,
2,4,5,4,0,Hard,Underdog,posMomUnder,5,66,5,80,3,2,2,2,47,2,2,4,3,5,6,4,4,3,2,4,4,5,6,6,6,4.5,
35,30,11,25,40,Easy,Underdog,negMomUnder,6,84,7,91,10,1,4,4,30,1,6,7,3,3,2,2,2,5,6,6,6,5,6,6,6,5.75,1
23,15,7,15,15,Easy,Underdog,negMomUnder,7,61,7,99,10,1,2,3,42,1,6,5,3,2,2,2,2,6,6,6,6,6,6,6,6,6,2
17,13,16,15,19,Hard,Underdog,posMomUnder,3,43,3,47,5,1,2,2,23,1,5,5,2,5,5,5,5,3,3,3,3,4,5,5,4,3.75,1
2,3,4,3,0,Hard,Underdog,posMomUnder,1,0,4,2,2,2,1,2,25,2,1,4,2,5,5,5,6,3,3,3,2,4,5,5,5,3.75,
3,5,9,6,0,Easy,Favorite,negMomFav,2,18,2,20,3,2,3,5,32,1,1,4,3,2,4,3,3,6,4,5,5,3,4,4,3,4.25,
2,3,7,4,0,Hard,Underdog,posMomUnder,4,25,6,64,4,2,4,3,36,1,2,5,1,4,5,5,5,4,3,3,3,4,4,5,4,3.75,
4,7,16,9,0,Easy,Underdog,negMomUnder,2,6,2,4,3,2,2,4,39,1,4,6,2,3,3,3,3,5,5,5,5,3,5,5,5,4.75,
9,12,7,9,20,Easy,Favorite,negMomFav,6,76,3,52,7,1,2,2,31,2,5,2,3,2,2,2,2,6,6,6,6,5,6,6,5,5.75,1
6,4,12,7,11,Hard,Favorite,posMomFav,3,22,6,76,8,1,2,2,38,1,4,2,3,5,5,5,5,3,3,3,3,4,5,5,4,3.75,1
9,13,16,13,0,Hard,Underdog,posMomUnder,5,50,5,54,4,2,2,3,27,1,4,5,3,3,4,4,4,5,4,4,4,6,6,6,4,4.875,
6,7,9,7,8,Hard,Favorite,posMomFav,5,54,5,56,10,1,2,2,24,2,4,5,3,3,3,3,3,5,5,5,5,5,6,6,5,5.25,1
6,10,10,9,0,Easy,Underdog,negMomUnder,4,52,3,26,2,2,1,2,35,1,2,4,2,5,4,3,4,3,4,5,4,4,5,5,4,4.25,
7,5,8,7,7,Hard,Favorite,posMomFav,6,83,7,53,10,1,1,4,39,2,2,6,3,2,2,2,2,6,6,6,6,6,6,6,6,6,1
3,2,2,2,0,Hard,Favorite,posMomFav,1,4,1,1,1,2,2,2,35,2,2,3,2,5,5,5,5,3,3,3,3,4,5,6,4,3.875,
12,17,14,14,0,Easy,Underdog,negMomUnder,5,72,4,48,4,2,3,2,35,1,5,6,2,2,1,1,2,6,7,7,6,6,7,7,7,6.625,
