"","round1","momentum1","momentum","likelyWin","scoreComp","perfChange2","scoreEasy","scoreMedium","scoreHard","scoreAverage","age","gender","familiar","education","effPre","effPost1","effPost2","effPreComp","expWin","effort","perfComp","momPostComp","effPostComp","exp"
"1","Easy",50,50,1,15,3,12,4,4,7,34,1,2,2,1.666666667,2.333333333,2.333333333,1.666666667,2,6,4,50,2,4
"2","Hard",51,61,4,34,5,20,11,10,14,44,2,4,3,7,4.333333333,4,6,2,8,6,65,6,4
"4","Hard",50,20,4,30,3,10,13,10,11,26,1,3,3,5.666666667,4.333333333,4.666666667,2.666666667,2,8,7,50,7,4
"6","Hard",80,90,9,52,6,24,14,13,17,27,2,2,3,8.666666667,7.666666667,8.333333333,9.666666667,1,10,10,100,10,4
"7","Easy",50,50,3,20,4,11,10,11,11,25,2,3,4,4,2.666666667,2.333333333,2.333333333,2,8,5,65,4,4
"8","Easy",50,68,5,24,6,5,7,9,7,24,1,2,3,5.666666667,3,4.333333333,5,1,10,7,87,7.666666667,4
"9","Hard",0,0,1,14,4,18,10,10,13,27,1,1,3,1,1,1,1,2,10,1,0,1,4
"11","Easy",31,50,3,15,5,8,5,7,7,62,1,2,2,6,6.333333333,4,5,2,10,7,78,7,4
"12","Hard",45,47,1,31,5,18,15,11,15,50,2,2,2,5.333333333,5.333333333,5.666666667,5.333333333,2,8,4,44,4.666666667,4
"13","Easy",69,50,6,30,2,12,12,6,10,59,2,2,3,8,7.666666667,7.666666667,5.666666667,1,9,7,60,7.333333333,4
"14","Easy",11,0,1,20,1,16,11,10,12,24,2,3,3,10,10,3,1,2,10,1,0,1,4
"15","Hard",25,13,5,16,3,9,11,4,8,45,1,2,3,3,1,2,2,1,4,2,24,1.333333333,4
"16","Easy",74,73,5,25,4,5,10,10,8,24,1,1,2,4,6,8,8,1,9,8,79,8,4
"17","Hard",50,56,5,52,6,25,18,13,19,48,2,3,2,7.333333333,4.666666667,6.333333333,8,1,10,8,51,8.333333333,4
"18","Easy",50,29,4,30,2,10,9,1,7,25,1,2,2,5.666666667,7.666666667,7,4,2,10,9,89,9.666666667,4
"19","Easy",15,0,3,17,1,11,6,2,6,36,1,2,3,4.666666667,5.333333333,3.333333333,1.666666667,2,7,5,28,4.333333333,4
"21","Hard",60,54,5,29,4,12,13,9,11,29,1,3,3,7.666666667,6,7.333333333,8,1,9,8,72,8.333333333,4
"22","Easy",50,50,5,46,4,21,18,15,18,43,2,3,4,6,6,6,6,2,10,8,78,8,4
"23","Hard",33,35,5,32,5,14,14,7,12,27,1,2,4,4,3,4,5,1,5,5,44,5,4
"25","Easy",63,43,8,18,3,12,17,14,14,35,1,3,3,8.333333333,6.333333333,7.333333333,5.333333333,1,8,9,75,8.666666667,4
"26","Hard",50,51,2,31,5,23,16,14,18,62,2,5,3,8,2.666666667,3.333333333,5,2,10,6,57,5.333333333,4
"28","Hard",68,66,6,35,6,18,15,12,15,50,2,2,2,6.666666667,6,7.666666667,8,1,10,8,77,8.333333333,4
"29","Easy",8,44,4,52,5,8,8,14,10,55,2,2,3,5,3,3,5,2,8,8,76,8.666666667,4
"30","Hard",64,80,9,51,5,20,13,18,17,42,2,3,4,7.333333333,8.333333333,7,8,1,9,9,96,8,4
"31","Easy",97,98,8,33,3,13,11,10,11,35,2,2,3,8,8,8,8,1,10,8,100,8,4
"32","Easy",50,72,5,41,5,16,13,15,15,27,2,2,3,8.666666667,8.666666667,7,7,1,10,10,100,10,4
"33","Hard",17,20,5,16,4,12,7,11,10,62,1,2,3,6.666666667,6.666666667,5,7,1,8,7,9,6,4
"34","Easy",33,10,5,28,1,22,19,10,17,22,2,4,3,7.666666667,6,5,3,1,9,7,50,5.666666667,4
"35","Hard",79,85,7,52,5,21,15,15,17,25,1,2,3,7.666666667,8.666666667,9,9,1,10,10,97,9.666666667,4
"36","Hard",59,75,7,52,5,31,22,9,21,30,2,2,5,9.333333333,4.666666667,8,9,1,6,10,85,10,4
"37","Easy",50,51,5,52,5,9,10,16,12,40,2,3,3,4.333333333,3,3,4,2,10,10,100,10,4
"38","Easy",56,58,5,45,5,12,19,20,17,31,2,1,3,6,6,6.666666667,6.666666667,2,8,6,70,7,4
"39","Easy",50,37,4,52,2,20,8,6,11,33,2,2,3,5.333333333,8,4.666666667,3.333333333,2,10,10,100,10,4
"40","Hard",25,39,3,34,5,11,7,7,8,62,1,2,5,4.666666667,4.666666667,4.666666667,4.666666667,2,6,5,56,5,4
"41","Easy",25,26,5,15,4,8,6,7,7,34,1,2,3,6,6,6,6,1,9,6,27,6,4
"43","Hard",26,50,5,25,5,14,4,6,8,26,1,2,2,6,4.333333333,3,7,1,8,7,62,7,4
"44","Hard",21,51,2,17,6,15,13,6,11,34,2,2,4,3,1,7,7,2,4,6,27,6.333333333,4
"45","Easy",55,64,5,51,4,15,8,12,12,29,2,2,2,6.666666667,5.666666667,5,6,1,8,7,79,8.666666667,4
"46","Easy",86,66,9,52,5,4,8,9,7,47,2,2,3,8,7.333333333,8.333333333,7,1,10,10,95,10,4
"47","Easy",45,34,4,30,2,17,18,10,15,25,2,2,3,5,5,5.333333333,3,2,2,3,21,2.333333333,4
"48","Easy",20,50,4,30,4,11,8,11,10,37,2,2,2,7.333333333,8.666666667,4.333333333,8.666666667,1,9,9,63,9.666666667,4
"50","Easy",0,1,1,21,2,10,7,8,8,24,2,2,3,4,3,1,1,2,9,2,22,3,4
"51","Hard",54,31,4,52,3,11,12,8,10,37,2,3,2,3.666666667,3.333333333,6.333333333,5.333333333,2,10,10,100,9.666666667,4
"52","Hard",50,61,5,18,5,15,10,8,11,26,1,2,3,5,2,3,4,2,6,6,64,5,4
"53","Easy",22,35,5,44,5,7,5,10,7,19,2,2,2,5.333333333,4,3.333333333,5,1,10,6,50,9.333333333,4
"54","Hard",50,50,5,22,5,28,17,16,20,46,2,3,2,6.666666667,6.666666667,6.666666667,6.666666667,1,10,6,51,6.666666667,4
"55","Easy",64,78,5,52,5,17,17,20,18,45,1,3,2,8.333333333,8.333333333,7.333333333,8.333333333,1,10,10,94,9,4
"56","Hard",63,80,8,27,6,12,9,7,9,30,1,3,3,6,5.666666667,6.333333333,7.666666667,1,9,9,91,8.333333333,4
"57","Easy",22,78,5,39,6,9,4,9,7,27,2,3,3,7.666666667,6.333333333,3,8,1,10,9,100,8.666666667,4
"58","Easy",50,50,6,31,4,22,12,13,16,36,2,3,4,6,6,6,6,1,6,6,54,7,4
"61","Easy",21,34,5,14,4,10,4,6,7,23,1,2,3,7,6,3,5,1,7,7,63,6,4
"64","Hard",52,76,6,33,6,18,13,8,13,28,2,3,3,6,4.333333333,6.333333333,8.333333333,1,10,10,100,10,4
"65","Easy",51,36,3,18,4,7,10,9,9,27,2,1,4,2.333333333,2,4,3,2,9,3,51,3,4
"66","Hard",0,0,1,31,4,13,7,3,8,24,1,3,2,1,1,1,1,2,1,1,0,1,4
"67","Hard",50,50,4,39,5,17,17,6,13,29,1,2,3,2.666666667,1,4,4,1,7,5,54,5,4
"69","Hard",32,57,4,21,5,13,11,12,12,25,2,2,3,8,4.333333333,4.333333333,4.333333333,2,7,6,61,7,4
"70","Hard",50,70,3,30,6,12,8,3,8,44,2,2,3,6,1,3,7,2,7,7,66,6.333333333,4
"71","Hard",50,48,5,52,5,37,30,28,32,43,1,2,2,6,5,5,5,1,6,5,39,5,4
"72","Easy",63,13,5,16,2,10,12,6,9,28,1,2,3,3.333333333,3,4.333333333,2,1,8,6,74,4.666666667,4
