Study Num,Title,Authors,Num_Auth,Citations_1stAuth,Citations_SenAuth,Citations_Paper_T1,Citations_Paper_T2,Prestige_1stAuth,Prestige_SenAuth,NumStudies,Discipline,Surprising,Important,Orig_N,P90_N,Rep_Dir,Rep_Binary,Rep_Pval
124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,"GP Lau, AC Kay, SJ Spencer",3,54,11032,54,96,2.98,2.98,1,Social,4,3,36,66,0,0,0.79
165,The value heuristic in judgments of relative frequency.,"X Dai, K Wertenbroch, CM Brendl",3,75,1773,28,74,2.05,2.05,3,Social,3.11,2.94,56,85,0,0,0.21
150,Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field,"S Forti, GW Humphreys",2,134,11039,7,10,2.7,2.7,1,Cognitive,2.67,2.67,14,13,1,0,0.369
35,Reading aloud: spelling-sound translation uses central attention.,"S O'Malley, MG Reynolds, JA Stolz, D Besner",4,157,11136,17,28,2.98,2.98,1,Cognitive,3,3.33,48,24,,,
25,Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.,"M Couture, D Lafond, S Tremblay",3,170,2809,15,32,1.59,1.59,1,Cognitive,1.5,1.5,24,X,1,1,0.002
106,More than meets the eye: the role of language in binding and maintaining feature conjunctions.,"B Dessalegn, B Landau",2,190,6864,52,102,5.29,5.29,4,Cognitive,2,3.33,36,60,1,0,0.132
107,Nonconscious goal pursuit in novel environments: The case of implicit learning.,"B Eitam, RR Hassin, Y Schul",3,206,2448,66,117,2.48,2.48,2,Social,4.33,3.33,86,210,0,0,0.189
141,Emotional valence and arousal interact in attentional control.,"LN Jefferies, D Smilek, E Eich, JT Enns",4,217,10143,103,243,3.67,3.67,1,Cognitive,2.33,3,100,240,,,
155,Personality dominance and preferential use of the vertical dimension of space,"SK Moeller, MD Robinson, DL Zabelina",3,230,6629,33,79,2.34,2.34,2,Social,4.4,3,53,105,0,0,0.78
6,"A single-system account of the relationship between priming, recognition, and fluency.","CJ Berry, DR Shanks, RN Henson",3,232,22335,37,71,4.13,2.12,4,Cognitive,3.66,4.33,24,23,1,1,0.023
112,Action dynamics reveal parallel competition in decision making,"C McKinstry, R Dale, MJ Spivey",3,233,8475,103,249,2.39,5.56,1,Cognitive,3.6,3.2,141,X,1,1,0.01
2,"Now you see it, now you don't: repetition blindness for nonwords","AL Morris, ML Still",2,240,240,6,13,3.27,3.27,6,Cognitive,3.28,2.86,24,20,1,0,0.269
95,"Interindividual-intergroup discontinuity in the domain of correspondent outcomes: the roles of relativistic concern, perceived categorization, and the doctrine of mutual assured destruction.","ST Wolf, CA Insko, JL Kirchner, T Wildschut",4,246,7405,16,29,4.25,4.25,2,Social,4.5,3,41,119,,,
115,Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?,"E Nurmsoo, P Bloom",2,271,15271,22,51,6.56,6.56,2,Cognitive,2.8,3.8,32,20,0,0,0.197
77,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.,"M Koo, A Fishbach",2,283,4272,124,373,4.71,4.71,4,Social,4.33,4.67,246,245,0,0,0.758
12,When does between-sequence phonological similarity promote irrelevant sound disruption?,"JE Marsh, F Vachon, DM Jones",3,316,8838,12,28,3.07,3.07,1,Cognitive,1.75,2.75,48,80,1,0,0.1986
132,Where do we look during potentially offensive behavior?,"JR Crosby, B Monin, D Richardson",3,331,2496,36,63,1.49,2.22,1,Social,3.67,3,25,32,1,0,0.254
72,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.,"KL Blankenship, DT Wegener",2,377,12699,37,95,2.46,4.43,6,Social,2.32,3.18,261,236,1,0,0.49
110,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent,"C Farris, TA Treat, RJ Viken, RM McFall",4,378,5836,37,96,3.53,3.53,1,Social,2.8,3.2,280,24,1,0,0.28
9,"Prime diagnosticity in short-term repetition priming: Is primed evidence discounted, even when it reliably indicates the correct answer?","CT Weidemann, DE Huber, RM Shiffrin",3,398,30846,22,31,4.5,3.53,4,Cognitive,3,3,118,152,,,
51,The cost of lower self-esteem: Testing a self-and social-bonds model of health.,"DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer",7,403,24873,83,173,2.98,2.98,2,Social,3.16,3.67,203,241,,,
