StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q7,Q9,Q11,Q51,Q55,Q59,Q63,Q67,Q71,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q79,si1,si2.r,si3,si4,si5,si6,Q197_First Click,Q197_Last Click,Q197_Page Submit,Q197_Click Count,comp1.1.0,comp2.1.0,comp3.1.0,comp4.1.0,comp5.1.0,coop.1.0_1,comp1.2.0,comp2.2.0,comp3.2.0,comp4.2.0,comp5.2.0,coop.2.0_1,comp1.0.0,comp2.0.0,comp3.0.0,comp4.0.0,comp5.0.0,coop.0.0_1,comp1.1.1,comp2.1.1,comp3.1.1,comp4.1.1,comp5.1.1,coop.1.1_1,comp1.2.1,comp2.2.1,comp3.2.1,comp4.2.1,comp5.2.1,coop.2.1_1,comp1.0.1,comp2.0.1,comp3.0.1,comp4.0.1,comp5.0.1,coop.0.1_1,Q198_First Click,Q198_Last Click,Q198_Page Submit,Q198_Click Count,help1,help2,help3,help4,help5,help6,help7,exp_1,rep1,rep2,rep3.r,rep4,GA1,PI1,GA2.r,GA3,PI2.r,PI3,GA4,PI4,GA5,PI5,GA6.r,PI6.r,GA7.r,PI7.r,GA8,perception.d,perception.c,threat1_1,threat2_1,who,sex,age,nationality,language,mturk,id,condition,group,knowledge
2020/5/13 11:40,2020/5/13 11:55,0,90.92.157.1,100,934,0,2020/5/13 14:24,R_3s4HzbC4HFrGnGL,,,,,,,anonymous,EN,1,1,1,1,2,1,2,1,2,2,0,0,4.108,0,Judging people without knowing them,5,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,0,0,0,151.568,0,6,5,4,6,6,6,6,0,5,3,1,3,4,2,5,6,6,2,2,2,6,2,2,5,5,4,3,4,4,3,3,3,1,22,french,french,2.00E+11,54610,2,0,1
2020/5/13 1:15,2020/5/13 1:22,0,73.158.97.91,100,424,0,2020/5/13 14:30,R_1Fy4A6ytKCiPrpq,,,,,,,anonymous,EN,1,1,1,1,1,1,2,2,1,2,0,0,4.011,0,"While using computer screen, I very much prefer higher pixel density screens as I tend to notice the finite number of pixels on lower resolution screens.",6,2,5,5,5,5,1.825,2.281,20.591,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,0,,,,,,,,,,,7,6,6,7,7,7,7,0,4,2,5,5,7,3,7,7,2,1,2,2,1,2,3,4,2,5,7,4,7,7,7,,1,27,US,Chinese,A1BFW8IHMF814V,64142,1,2,1
2020/5/13 8:01,2020/5/13 8:10,0,73.225.164.120,100,506,0,2020/5/13 14:25,R_2s7omGYsOe0mlfJ,,,,,,,anonymous,EN,1,1,1,1,2,2,1,1,1,2,0,0,4.009,0,when meeting someone new who I do not know anything about,4,3,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,150,26.089,26.089,29.96,1,5,5,2,6,5,5,6,150,4,5,2,3,7,3,5,6,2,4,3,4,2,3,1,2,3,1,2,2,6,7,7,3,2,19,American,English,A1DO811NP9A0OU,50308,2,0,1
2020/5/13 16:57,2020/5/13 17:19,0,151.29.83.208,100,1319,0,2020/5/14 0:41,R_OiJif4HpzSpJBKh,,,,,,,anonymous,EN,1,1,1,1,2,1,1,2,2,2,0,0,4.11,0,I often try to deduce the function of an unknown object using all the information i can extrapolate from just looking/interacting with it ,4,3,4,4,5,3,,,,,,,,,,,1,2,1,1,3,150,,,,,,,,,,,,,,,,,,,,,,,,,0,0,113.614,0,6,6,7,7,7,7,7,200,4,5,2,4,7,3,5,3,4,3,4,3,2,4,5,5,2,4,5,3,5,5,6,,1,24,Italian,Italian,A1DRXMQ3HXTN3D,52773,2,2,0
2020/5/13 3:30,2020/5/13 3:38,0,207.81.103.141,100,531,0,2020/5/13 14:28,R_6rLwHm2HNvEzwrv,,,,,,,anonymous,EN,1,1,1,1,1,2,1,1,1,2,0,0,4.013,0,When I look outside on my balcony and see the sunset and the wind pushing the green trees.,5,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,3,200,,,,,,,,,,,,,22.293,23.479,29.57,2,7,5,6,4,7,7,7,150,4,5,3,4,6,2,6,7,5,1,4,2,2,2,3,6,5,7,2,2,7,5,5,,1,14,Canada,English,A1DT6P2ZY72X4M,53921,2,1,1
2020/5/13 6:33,2020/5/13 7:00,0,179.34.115.27,100,1633,0,2020/5/13 14:26,R_6VTz0bxCnbL9rsR,,,,,,,anonymous,EN,1,1,1,1,1,2,1,1,1,2,0,0,4.111,0,"I'm software developer and I really preffer the bottom-up processing. I preffer to approach to start developing the minimum details (databases, structures, objects, design patterns and so). After that I go to the other top layers (as ui, security and so)",5,2,5,6,4,5,13.628,15.299,114.762,4,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,50,,,,,,,,,,,6,5,6,7,6,7,7,100,2,4,4,4,5,3,3,6,3,1,2,2,2,2,1,5,5,5,2,2,5,6,7,,1,34,Brazilian,Portuguese,A1EQG48SPKUJSL,86608,1,2,1
2020/5/13 4:39,2020/5/13 4:51,0,75.57.2.228,100,745,0,2020/5/13 14:26,R_3mfV4Yz8HnFQlIJ,,,,,,,anonymous,EN,1,1,1,1,2,1,1,1,2,1,0,0,4.012,0,"When I am studying new material, I want to learn each key detail before figuring out what to focus more and which to commit to memorizing.",4,3,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,50,,,,,,,0,0,71.615,0,7,7,6,7,6,6,6,100,4,3,4,2,7,1,1,7,2,2,6,2,2,2,1,1,1,3,7,3,7,5,3,,1,21,Filipino,English,A1FLC5XOFRSELZ,80094,2,2,1
2020/5/13 1:39,2020/5/13 1:47,0,68.40.200.10,100,458,0,2020/5/13 14:30,R_2rovOy5v4Fbr3pz,,,,,,,anonymous,EN,1,1,1,1,1,2,1,1,1,2,0,0,4.011,0,"Reading could be a bottom up process I use, when I see letters appearing on a screen, put together to make words I can then cognitively understand.",4,3,5,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,150,,,,,6,5,3,7,6,5,6,100,4,4,5,2,7,5,2,7,2,5,7,5,5,2,1,3,1,3,6,3,6,5,5,3,2,21,American,English,A1J2CG17T1NTZE,12991,0,0,1
2020/5/13 0:49,2020/5/13 1:06,0,88.6.79.233,100,1027,0,2020/5/13 14:32,R_sFo5JP6Lsi4FiAV,,,,,,,anonymous,EN,1,1,1,1,1,2,1,1,2,2,0,0,4.009,0,When I read a WhatsApp from a family member or friend discussing a topic I try to read between the lines to see what I can intuit with their expressions and words,5,2,4,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,100,0,0,46.456,0,2,5,5,5,5,5,5,100,4,4,3,5,2,6,3,5,5,5,5,5,5,3,1,1,6,5,5,6,5,5,5,2,1,29,Mexican,Spanish,A1L4VHVAMQN3RG,19048,2,0,1
2020/5/13 10:13,2020/5/13 10:23,0,98.164.95.21,100,620,0,2020/5/13 14:24,R_2atz2Wf81xNEP2b,,,,,,,anonymous,EN,1,1,1,1,1,2,1,1,2,2,0,0,4.011,0,finding facts before determining a belief,4,3,4,2,4,3,0,0,29.001,0,,,,,,,,,,,,,1,3,1,1,3,150,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,2,3,4,150,2,3,4,2,5,5,3,3,3,4,3,3,3,3,4,3,3,4,3,2,6,5,5,2,1,39,usa,english,A1M4I6P46EO8WC,78170,1,0,0
